week,brand,model,sessions,units,gmv,buybox_pct,conversion_pct
5,audio array,AA-01,309,0.0,0.0,0.2242,0.0
5,audio array,AA-02,582,0.0,0.0,0.0028,0.0
5,audio array,AA-03,328,3.0,1195.7627118644068,0.04763333333333333,0.0091
5,audio array,AA-04,412,2.0,2964.406779661017,0.0035,0.0049
5,audio array,AA-05,2292,6.0,3333.0508474576272,0.06625,0.0026
5,audio array,AA-06,420,1.0,1058.4745762711866,0.04945,0.0024
5,audio array,AA-19,613,1.0,0.0,0.00455,0.0016
5,audio array,AA-19BL,599,3.0,12702.542372881357,0.1059,0.005
5,audio array,AA-19WL,590,0.0,0.0,0.08405,0.0
5,audio array,AA-20,158,2.0,1875.4237288135594,0.2694,0.0127
5,audio array,AA-21,3429,2.0,6269.491525423729,0.017366666666666666,0.0006
5,audio array,AA-22,531,0.0,0.0,0.057,0.0
5,audio array,AA-25,251,0.0,0.0,0.0031,0.0
5,audio array,AA-25M,218,8.0,5925.42372881356,1.0,0.0367
5,audio array,AA-26,1876,9.0,3816.949152542373,0.06965,0.0048
5,audio array,AC-3XL,226,0.0,0.0,0.0107,0.0
5,audio array,AC-6XL,198,4.0,1915.2542372881358,0.2008,0.0202
5,audio array,AH-40 SL,48,2.0,2266.1016949152545,0.6557,0.0417
5,audio array,AH-45 BK,1052,6.0,7987.28813559322,0.122,0.0057
5,audio array,AH-50,2714,41.0,67762.71186440678,0.4481,0.0151
5,audio array,AH-60 BL,405,1.0,1744.0677966101696,0.1644,0.0025
5,audio array,AH-60 RD,497,1.0,0.0,0.0472,0.002
5,audio array,AI-03,100,1.0,3402.542372881356,0.992,0.01
5,audio array,AI-04 RED,18954,3.0,7625.423728813559,0.0036666666666666666,0.0002
5,audio array,AI-06,1030,0.0,0.0,0.0404,0.0
5,audio array,AI-10,3210,0.0,0.0,0.0012000000000000001,0.0
5,audio array,AI-11,1814,3.0,3683.898305084746,0.0493,0.0017
5,audio array,AI-12,1124,3.0,3425.4237288135596,0.21993333333333331,0.0027
5,audio array,AI-13,86,0.0,0.0,1.0,0.0
5,audio array,AI-14,57,0.0,0.0,1.0,0.0
5,audio array,AM-C1,34960,5.0,9318.644067796611,0.014450000000000001,0.0001
5,audio array,AM-C10,436,1.0,3388.983050847458,0.0904,0.0023
5,audio array,AM-C11,331,0.0,0.0,0.101,0.0
5,audio array,AM-C11 PRO,24,0.0,0.0,0.0,0.0
5,audio array,AM-C11X,282,0.0,0.0,0.0438,0.0
5,audio array,AM-C11X PRO,128,0.0,0.0,0.0144,0.0
5,audio array,AM-C13,12,1.0,507.6271186440678,1.0,0.0833
5,audio array,AM-C2,861,1.0,3304.237288135593,0.016,0.0012
5,audio array,AM-C20,270,0.0,0.0,0.16255,0.0
5,audio array,AM-C27,30,0.0,0.0,0.5,0.0
5,audio array,AM-C28,585,3.0,4055.084745762712,0.1792,0.0051
5,audio array,AM-C29,18,0.0,0.0,0.5,0.0
