asin,sku,am_soh,am_intransit
B0FT8R24QM,FBA79819,534,0
B0D2LHNS9B,FBA79265,271,220
B0F43P6D23,FBA79652,323,118
B0DVC8NYY2,FBA79682,266,156
B0DNJS23HS,FBA79567,300,120
B0DQCWRG3H,FBA79493,343,0
B0DCK7ZH5P,FBA79439,274,48
B0CYSLCRQS,FBA79263,281,30
B0GLHC8CB3,FBK80024,161,130
B0FN4DSQ6P,FBK79789,158,108
B0B4DPX2J2,FBA75673,176,80
B0G53H49BS,FBA79961,150,100
B0D383WQPB,FBA79268,247,0
B0DCGHVN81,FBA79452,235,12
B0FG88HVQ8,FBA79813,245,0
B0D83Q7L8W,FBA79271,168,72
B0D9KDQCCM,FBA79349,228,0
B0D845B2DG,FBA79280,227,0
B0G2C2RCXN,FBA79967,126,100
B0DFCG2VGS,FBA79488,219,6
B0DCGHKRXX,FBA79440,174,50
B0D2P5TGWK,FBA79373,151,70
B0FPR7VFCH,FBA79815,119,100
B0D67727VG,FBP79350,177,40
B0GN97RFPR,FBA79848,110,100
B0DVC7VJP1,FBA79679,199,11
B0FFM8LKFG,FBA79970,144,48
B0CDPP45BM,FBA78981,189,0
B0FN4D3C89,FBK79788,151,36
B0DVC58QPZ,FBA79692,179,0
B0DKK15YNJ,FBA79573,118,60
B0D2LJSQXZ,FBA79276,165,2
B0DK9LYT4P,FBA79467,123,40
B01ISNU3X4,FBA77113,140,20
B0CDPMX152,FBA78980,158,0
B0FS6TB7CP,FBA79812,155,0
B0DKJXRXKM,FBA79570,114,41
B0GMPGNXX3,FBA79956,143,0
B0FN4HDM6Z,FBK79791,140,0
B0D81DLSFT,FBA79348,139,0
B0D8445KJN,FBA79279,109,20
B0D9KFQG8Q,FBA79443,72,50
B0D9KFZYG8,FBA79404,118,0
B0B4G5JG4P,FBA75691,117,0
B0GN85NZQN,FBA79991,56,54
B0FSF1N457,FBA79811,108,0
B0D2P7WLJB,FBA79374,107,0
B0D25LNDSY,FBA79346,52,50
B0H1H3K6B2,FBA80128,50,50
B0GN94YDY2,FBA79992,55,45
B0BPLZ5CGV,FBA76864,99,0
B0GN8WW6BC,FBA79993,54,45
B0D86ZC9YT,FBA79278,58,40
B0FJ8SFNRH,FBA79809,96,0
B0H1MTP2ZP,FBA80143,48,48
B0FHVWHQHR,FBA79790,95,0
B0D9KFP4MG,FBA79405,92,0
B0FJ1ZB4G9,FBA79707,92,0
B0GW8Z556N,FBA79996,60,30
B0GW8VBCBL,FBA79995,60,30
B0G3Q517Y2,FBA79957,89,0
B0DCK3N2JJ,FBA79406,83,5
B0DT6T6N6B,FBA79694,57,30
B0FN4GQ9HT,FBK79787,85,0
B0BLJVJ2GN,FBA76414,63,20
B0FJS7JZ4V,FBK79708,71,12
B0F29SZCVF,FBK79591,42,40
B089C2L66M,FBA75694,77,0
B0DFCDZWND,FBA79472,75,0
B0DP2WC5VW,FBA79612,73,0
B0BVHZ5MKZ,FBK77102,60,10
B0G53M9258,FBA79968,50,20
B0B4G19R58,FBA75674,70,0
B0G39ZHDYP,FBA79959,68,0
B0FJS57732,FBM79783,48,20
B0BPLWW72Y,FBA76862,37,30
B0GW8R2RYM,FBA80009,40,25
B0FN4FPJ83,FBK79786,65,0
B0GW8ZQRFK,FBA80010,40,25
B0DP2Z5DQ9,FBA79615,31,30
B0DFMLS8JG,FBA79445,40,20
B0DM6BB3VT,FBA79590,54,5
B0G3Q59X8C,FBA79958,59,0
B0DB5VG39T,FBA79476,58,0
B0D2LFMY48,FBA79272,34,24
B0D2LD6BYJ,FBA79267,57,0
B0DB5W4TCP,FBA79478,57,0
B0B4G59Y8W,FBA75689,57,0
B0FQBWV1ST,FBA79840,56,0
B0G4DNF8RZ,FBA79842,54,0
B0FQBXS6Y2,FBA79839,54,0
B0FPR962YS,FBA79816,52,0
B0DCK4DR1B,FBA79469,52,0
B0DB5YTQZV,FBA79479,52,0
B0GKNGWLJ2,FBK80015,52,0
B0GNM35G8X,FBA79814,50,0
B0FTVQQVDC,FBA79904,34,15
B0DB5VVPSB,FBA79477,47,0
B0CBCB82MT,FBA78960,26,20
B0DK9NRBWJ,FBA79483,46,0
B0DXFPM4N2,FBA79482,46,0
B0B4G7VWXD,FBA75684,45,0
B0GXP97CZG,FBA80084,30,15
B0DV91JGF1,FBA79676,45,0
B0CKHVHVQ1,FBA79005,45,0
B0GXPBHDRF,FBA80085,30,15
B0CM6NTWBP,FBA79103,44,0
B0FJG5PFGQ,FBA79673,44,0
B0FS7T8151,FBA79810,44,0
B0B4JRQP22,FBA75679,44,0
B0CM6WH4ZT,FBA79105,43,0
B0D9KCNVNM,FBA79381,42,0
B0CF5SHL15,FBA78976,33,9
B078WNW4YW,FBA77117,41,0
B0CFKHCQ8W,FBA79585,20,20
B0DMT19RWC,FBA79596,40,0
B0DDC3GVZW,FBA79480,40,0
B0DTK4FY1G,FBA79698,40,0
B0D2LKB4BJ,FBA79273,39,0
B0CQX4K9P5,FBA79697,39,0
B0FFB6YJM1,FBA79708,38,0
B0BPM2T7BQ,FBA76863,37,0
B0DCK56Q85,FBA79463,37,0
B0CSCT63BL,FBA79577,33,4
B0DT6Y7KJM,FBA79492,36,0
B0D842173P,FBK79347,36,0
B0DKJSCLBD,FBA79566,36,0
B0DP32F346,FBA79617,35,0
B0CM9L1QZG,FBA79108,33,0
B0CH4VCD6R,FBA77171,33,0
B0B4G763WS,FBA75688,33,0
B0FJ8S5XJ8,FBA79827,22,10
B0FQBTRM28,FBA79841,31,0
B0B4G1HPL5,FBA75692,15,15
B0D3M86SH1,FBA79355,30,0
B08NDB5NWP,FBA77110,24,5
B0D3M1B4Z8,FBA79380,29,0
B0DFMMTWLY,FBA79446,29,0
B0D63FKYZ5,FBA79332,29,0
B0CH4RNWJX,FBA79011,28,0
B0DVC9PRSD,FBA79683,28,0
B0CM9KJZWQ,FBA79106,27,0
B0G3B152FR,FBA79960,27,0
B0DFMKY4TT,FBA79448,27,0
B0GN8MFDGZ,FBA79981,26,0
B0DFMRG2K4,FBA79481,26,0
B0GN86G345,FBA79989,26,0
B0DQ8W1RBV,FBK79271,19,6
B0GN8MMKY1,FBA79980,25,0
B0FPGDVVCX,FBA79849,25,0
B0G53KWRVW,FBA79966,24,0
B0GN8RQJRG,FBA79979,24,0
B0CF5RRTDJ,FBA78974,24,0
B0CM9HYVDM,FBA79109,24,0
B0FF9R3GKK,FBA79783,24,0
B0G53PRM34,FBA79965,23,0
B0DFD123P5,FBA79489,23,0
B0GKPXQ8G3,FBA80016,23,0
B08CVP2HXP,FBA77111,22,0
B0FJ8PZ9H7,FBA79833,22,0
B0DV9CY3XR,FBA79687,21,0
B0FR5DLXH9,FBA79903,20,0
B0GCP1J2HC,FBA79972,11,9
B0DFMLXD9S,FBA79447,20,0
B0CF5TCQKL,FBA78975,20,0
B0FN4FHH5Y,FBK79784,10,10
B0B4DS678Q,FBA75676,20,0
B0CH4PMR8K,FBA79009,20,0
B0DKJZDY72,FBA79565,20,0
B0DJFH6RTL,FBA79473,20,0
B0CH4RT4P8,FBA79008,19,0
