week,Model,inventory_ampm,inventory_1p,inventory_amazon,inventory_total_amazon,pipeline_orders,inv_units_model
13,6021-3081-BB,0.0,0.0,0.0,0.0,0.0,0.0
13,6023-1168,0.0,0.0,0.0,0.0,0.0,0.0
13,6023-210-SIOC,0.0,0.0,0.0,0.0,0.0,0.0
13,6023-4139-CB,0.0,0.0,0.0,0.0,0.0,0.0
13,6023-7664-SIOC,0.0,0.0,0.0,0.0,0.0,0.0
13,6023-8709-SIOC,0.0,0.0,0.0,0.0,0.0,0.0
13,6054-2364,0.0,0.0,0.0,0.0,0.0,0.0
13,6060-430,0.0,0.0,0.0,0.0,0.0,0.0
13,6070--1723,0.0,0.0,0.0,0.0,0.0,0.0
13,6070-3436,0.0,0.0,0.0,0.0,0.0,0.0
13,6320-150-SIOC,0.0,0.0,0.0,0.0,0.0,0.0
13,6486-1746-WHT,0.0,0.0,0.0,0.0,0.0,0.0
13,6705-3871-BLK-BB,0.0,0.0,0.0,0.0,0.0,0.0
13,6705-3945,0.0,0.0,0.0,0.0,0.0,0.0
13,6779-4414-SIOC,0.0,0.0,0.0,0.0,0.0,0.0
13,6779-4892,0.0,0.0,0.0,0.0,0.0,0.0
13,6780-3139-WHT-SIOC,0.0,0.0,0.0,0.0,0.0,0.0
13,6780-4679-WHT-SIOC,1.0,0.0,0.0,1.0,0.0,1.0
13,6822-150-SIOC,0.0,0.0,0.0,0.0,0.0,0.0
13,6822-167-SIOC,0.0,0.0,0.0,0.0,0.0,0.0
13,A3-XLR,800.0,0.0,148.0,948.0,0.0,948.0
13,AA-01,415.0,21.0,19.0,455.0,0.0,455.0
13,AA-02,990.0,44.0,62.0,1096.0,0.0,1096.0
13,AA-03,377.0,31.0,25.0,433.0,0.0,433.0
13,AA-04,0.0,17.0,3.0,20.0,504.0,20.0
13,AA-05,9.0,6.0,26.0,41.0,2520.0,41.0
13,AA-06,176.0,42.0,20.0,238.0,0.0,238.0
13,AA-07,3.0,0.0,0.0,3.0,0.0,3.0
13,AA-08,1.0,0.0,0.0,1.0,0.0,1.0
13,AA-09,2.0,0.0,0.0,2.0,0.0,2.0
13,AA-10,3.0,0.0,0.0,3.0,0.0,3.0
13,AA-11,0.0,0.0,0.0,0.0,0.0,0.0
13,AA-12,7.0,0.0,0.0,7.0,0.0,7.0
13,AA-13,0.0,0.0,0.0,0.0,0.0,0.0
13,AA-14,1.0,0.0,0.0,1.0,0.0,1.0
13,AA-15,0.0,0.0,0.0,0.0,0.0,0.0
13,AA-17,1.0,0.0,0.0,1.0,0.0,1.0
13,AA-18,4.0,0.0,0.0,4.0,0.0,4.0
13,AA-19,208.0,41.0,11.0,260.0,0.0,260.0
13,AA-19 WL,204.0,0.0,0.0,204.0,0.0,204.0
13,AA-19BL,100.0,22.0,34.0,156.0,0.0,156.0
13,AA-19WL,0.0,5.0,17.0,22.0,0.0,22.0
13,AA-20,414.0,12.0,25.0,451.0,0.0,451.0
13,AA-21,221.0,62.0,16.0,299.0,501.0,299.0
13,AA-22,194.0,19.0,34.0,247.0,201.0,247.0
13,AA-25,743.0,34.0,10.0,787.0,0.0,787.0
13,AA-25M,0.0,0.0,46.0,46.0,0.0,46.0
13,AA-26,484.0,15.0,55.0,554.0,2000.0,554.0
13,AB-01,6.0,0.0,0.0,6.0,0.0,6.0
13,AC-3XL,730.0,67.0,103.0,900.0,0.0,900.0
13,AC-6XL,632.0,62.0,21.0,715.0,2000.0,715.0
13,AE831,0.0,0.0,0.0,0.0,20.0,0.0
13,AH-40 SL,32.0,57.0,42.0,131.0,2025.0,131.0
13,AH-45 BK,569.0,48.0,25.0,642.0,1512.0,642.0
13,AH-50,9.0,15.0,228.0,252.0,3000.0,252.0
13,AH-60 BL,319.0,14.0,38.0,371.0,500.0,371.0
13,AH-60 RD,538.0,25.0,79.0,642.0,0.0,642.0
13,AI-02,7.0,0.0,0.0,7.0,0.0,7.0
13,AI-02 2X2| METALLIC RED,0.0,0.0,0.0,0.0,0.0,0.0
13,AI-02 BK,0.0,0.0,0.0,0.0,0.0,0.0
13,AI-03,200.0,49.0,39.0,288.0,0.0,288.0
13,AI-04,0.0,0.0,0.0,0.0,0.0,0.0
13,AI-04 BK,0.0,0.0,0.0,0.0,0.0,0.0
13,AI-04 BLACK,0.0,1.0,0.0,1.0,0.0,1.0
13,AI-04 RED,23.0,289.0,44.0,356.0,5010.0,356.0
13,AI-05,0.0,0.0,0.0,0.0,0.0,0.0
13,AI-06,80.0,21.0,11.0,112.0,0.0,112.0
13,AI-08,1.0,0.0,0.0,1.0,0.0,1.0
13,AI-09,3.0,0.0,0.0,3.0,0.0,3.0
13,AI-10,1313.0,229.0,74.0,1616.0,0.0,1616.0
13,AI-11,83.0,100.0,56.0,239.0,1000.0,239.0
13,AI-12,128.0,154.0,56.0,338.0,1000.0,338.0
13,AI-13,16.0,1.0,1.0,18.0,2000.0,18.0
13,AI-14,0.0,0.0,0.0,0.0,600.0,0.0
13,AK-37-B,268.0,11.0,26.0,305.0,0.0,305.0
13,AK-37-W,69.0,0.0,0.0,69.0,0.0,69.0
13,AK-61 NEO,72.0,0.0,0.0,72.0,0.0,72.0
13,AK-61 PRO,71.0,2.0,17.0,90.0,0.0,90.0
