week,brand,model,sku,asin,channel,type,category_l0,category_l1,category_l2,inventory_units,inventory_value,nlc
Week 10,Nexlev,AP-01,FBA79683,B0DVC9PRSD,AMPM,Warehouse,Home & Kitchen,Air Purifier,Air Purifier,24.0,243792.0,10158.0
Week 10,Nexlev,AP-01,FBA79683,B0DVC9PRSD,Amazon,Marketplace,Home & Kitchen,Air Purifier,Air Purifier,32.0,325056.0,10158.0
Week 10,Nexlev,AP-01,FBA79683,B0DVC9PRSD,B2B - AMPM,Warehouse,Home & Kitchen,Air Purifier,Air Purifier,10.0,101580.0,10158.0
Week 10,Nexlev,AP-02,FBA79684,B0DVC9Q219,AMPM,Warehouse,Home & Kitchen,Air Purifier,Air Purifier,2.0,12832.0,6416.0
Week 10,Nexlev,AP-03,FBA79692,B0DVC58QPZ,AMPM,Warehouse,Home & Kitchen,Air Purifier,NexLev Air Purifier Mini,524.0,1050620.0,2005.0
Week 10,Nexlev,AP-03,FBA79692,B0DVC58QPZ,Amazon,Marketplace,Home & Kitchen,Air Purifier,NexLev Air Purifier Mini,275.0,551375.0,2005.0
Week 10,Nexlev,AP-03,FBA79692,B0DVC58QPZ,B2B - AMPM,Warehouse,Home & Kitchen,Air Purifier,NexLev Air Purifier Mini,39.0,78195.0,2005.0
Week 10,Nexlev,AP-03,FBA79692,B0DVC58QPZ,Blinkit,Marketplace,Home & Kitchen,Air Purifier,NexLev Air Purifier Mini,8.0,16040.0,2005.0
Week 10,Nexlev,AP-03,FBA79692,B0DVC58QPZ,YNT,Dispatch Partner,Home & Kitchen,Air Purifier,NexLev Air Purifier Mini,37.0,74185.0,2005.0
Week 10,Nexlev,BM-01,FBA79597,B0DNJHKZ2G,AMPM,Warehouse,HPC,Electric Massagers,Back Massager,0.0,0.0,765.0
Week 10,Nexlev,BM-02,FBK79598,B0DNJJKBKG,AMPM,Warehouse,HPC,Electric Massagers,Back & Shoulder Massager,218.0,211460.0,970.0
Week 10,Nexlev,BM-02,FBK79598,B0DNJJKBKG,Amazon,Marketplace,HPC,Electric Massagers,Back & Shoulder Massager,44.0,42680.0,970.0
Week 10,Nexlev,BM-02,FBK79598,B0DNJJKBKG,B2B - AMPM,Warehouse,HPC,Electric Massagers,Back & Shoulder Massager,30.0,29100.0,970.0
Week 10,Nexlev,BM-02,FBK79598,B0DNJJKBKG,YNT,Dispatch Partner,HPC,Electric Massagers,Back & Shoulder Massager,6.0,5820.0,970.0
Week 10,Nexlev,BM-03,FBA79674,B0DV8XH455,AMPM,Warehouse,HPC,Electric Massagers,Back and Shoulder Massager Pro,1.0,975.0,975.0
Week 10,Nexlev,BM-03,FBA79674,B0DV8XH455,Amazon,Marketplace,HPC,Electric Massagers,Back and Shoulder Massager Pro,0.0,0.0,975.0
Week 10,Nexlev,BR-01,FBA79570,B0DKJXRXKM,AMPM,Warehouse,HPC,Skin Care,Blackhead Remover,212.0,113632.0,536.0
Week 10,Nexlev,BR-01,FBA79570,B0DKJXRXKM,Amazon,Marketplace,HPC,Skin Care,Blackhead Remover,192.0,102912.0,536.0
Week 10,Nexlev,BR-01,FBA79570,B0DKJXRXKM,B2B - AMPM,Warehouse,HPC,Skin Care,Blackhead Remover,0.0,0.0,536.0
Week 10,Nexlev,BR-01,FBA79570,B0DKJXRXKM,Blinkit,Marketplace,HPC,Skin Care,Blackhead Remover,4.0,2144.0,536.0
Week 10,Nexlev,BR-01,FBA79570,B0DKJXRXKM,YNT,Dispatch Partner,HPC,Skin Care,Blackhead Remover,41.0,21976.0,536.0
Week 10,Nexlev,CF-01,FBA79484,B0DNJF1BLS,AMPM,Warehouse,Home & Kitchen,Kitchen Appliances,Drip Coffee Maker,25.0,17900.0,716.0
Week 10,Nexlev,CF-01,FBA79484,B0DNJF1BLS,Amazon,Marketplace,Home & Kitchen,Kitchen Appliances,Drip Coffee Maker,5.0,3580.0,716.0
Week 10,Nexlev,CF-01,FBA79484,B0DNJF1BLS,B2B - AMPM,Warehouse,Home & Kitchen,Kitchen Appliances,Drip Coffee Maker,24.0,17184.0,716.0
Week 10,Nexlev,CF-01,FBA79484,B0DNJF1BLS,YNT,Dispatch Partner,Home & Kitchen,Kitchen Appliances,Drip Coffee Maker,6.0,4296.0,716.0
