brand,sku,asin,model,category_l1,category_l2,product_name,latest_fob,nlc,dp,mrp,bau_deal_sp,bau_sp_mop,gross_margin,gross_margin_pct,net_margin,net_margin_pct,total_stock,soh,am_soh,am_intransit
Audio Array,FBA75673,B0B4DPX2J2,AM-C1,Microphone,Condenser Mic with Boom Arm,AM-C1,11.0,1389.194215759059,1177.28,4999,2699.0,2699.0,1110.0,41.13,78.15,2.9,8305,892,2256,1036
Audio Array,FBA76864,B0BPLZ5CGV,AI-04 Red,Audio Interface,4 Channel Audio Interface,AI-04 Red,18.0,2078.054893905882,1761.06,9999,4398.0,4599.0,1966.06,44.7,441.37,10.04,4794,1834,1041,380
Audio Array,FBA79482,B0DXFPM4N2,AM-S1,Speaker,Studio Monitor Speaker,AM-S1,32.85,4347.426505277647,3684.26,12999,7999.0,8799.0,3094.55,38.69,243.04,3.04,1445,1058,477,161
Audio Array,FBA79103,B0CM6NTWBP,AI-10,Audio Interface,Audio Interface,AI-10,11.5,1329.371337315441,1126.59,6999,2749.0,3249.0,1203.08,43.76,200.01,7.28,1364,1175,213,30
Audio Array,FBA79816,B0FPR962YS,AM-W22,Microphone,Wireless Lapel Microphone,AM-W22,12.88,1595.926236924,1352.48,6499,2999.0,3599.0,1189.05,39.65,111.65,3.72,1079,905,251,0
Audio Array,FBA79005,B0CKHVHVQ1,AM-W45,Microphone,Wireless Conference Microphone,AM-W45,21.7,2691.024084195882,2280.53,9999,4990.0,4999.0,1948.28,39.04,140.85,2.82,1522,89,446,205
Audio Array,FBA79380,B0D3M1B4Z8,AM-C46,Microphone,RGB Condenser Mic with Boom Arm,AM-C46,15.5,1945.75697856,1648.95,7999,3599.0,3549.0,1401.05,38.93,72.67,2.02,2042,1727,291,22
Audio Array,FBA78975,B0CF5TCQKL,AA-21,Speaker Accessories,Speaker Stand,AA-21,12.8,1614.425674691912,1368.16,7399,3799.0,3699.0,1851.33,48.73,393.46,10.36,683,9,182,161
Audio Array,FBA79815,B0FPR7VFCH,AM-W19,Microphone,Wireless Lapel Microphone,AM-W19,8.89,1101.125049606,933.16,3999,2199.0,1999.0,930.4,42.31,116.59,5.3,266,208,168,0
Audio Array,FBA79379,B0D3LZWTHV,AM-C45,Microphone,RGB Dynamic Microphone,AM-C45,15.5,1930.132564921323,1635.71,7499,3499.0,3499.0,1329.55,38.0,68.42,1.96,761,718,80,48
Audio Array,FBA79011,B0CH4RNWJX,AM-C43,Microphone,XLR Condenser Microphone Kit - Boomarm,AM-C43,10.0,1260.5997281625,1068.3,5999,2499.0,2499.0,1049.49,42.0,83.92,3.36,1278,119,125,27
Audio Array,FBA79446,B0DFMMTWLY,AM-W33,Microphone,Wireless UHF Microphone,AM-W33,9.16,1142.164623710118,967.94,3299,1799.0,1999.0,556.64,30.94,-165.45,-9.2,638,596,57,3
Audio Array,FBA79104,B0CM6NVLT9,AI-11,Audio Interface,Audio Interface,AI-11,6.5,751.7393887965882,637.07,4999,1574.0,1549.0,696.83,44.27,86.97,5.53,785,597,233,90
Audio Array,FBA78973,B0CF5R3V95,AA-19,Microphone Accessories,Boom Arm,AA-19,15.0,1870.528401973059,1585.19,8799,3799.0,3799.0,1634.3,43.02,347.94,9.16,851,116,331,229
Audio Array,FBA79106,B0CM9KJZWQ,AM-C44,Microphone,Dynamic Microphone,AM-C44,21.0,2610.341273765647,2212.15,10999,5099.0,4799.0,2109.03,41.36,311.49,6.11,122,76,49,3
Audio Array,FBA79109,B0CM9HYVDM,AM-W18,Speaker,Karaoke Speaker With Mic,AM-W18,4.7,614.8578323488235,521.07,2999,1299.0,1189.0,579.78,44.63,38.87,2.99,1823,1537,225,126
Audio Array,FBA75689,B0B4G59Y8W,AM-W13,Microphone,Wireless UHF Microphone,AM-W13,10.0,1245.571477438235,1055.57,7999,1899.0,1999.0,553.75,29.16,-204.61,-10.77,295,266,55,2
Audio Array,FBA76862,B0BPLWW72Y,AM-C28,Microphone,Conference Microphone,AM-C28,6.8,843.1039499039999,714.49,3399,1598.0,1549.0,639.74,40.03,15.85,0.99,2111,5,148,74
Audio Array,FBA79449,B0DFMNGFTD,AM-W36,Microphone,Wireless UHF Microphone,AM-W36,31.0,3867.413881171764,3277.47,9999,5899.0,5799.0,1721.68,29.19,-404.43,-6.86,37,26,14,4
Audio Array,FBA75692,B0B4G1HPL5,AM-C11,Microphone,USB/XLR Dynamic Mic,AM-C11,23.0,2857.771684667647,2421.84,10999,5199.0,4799.0,1984.09,38.16,139.75,2.69,37,10,28,5
Audio Array,FBA79355,B0D3M86SH1,AA-19BL,Microphone Accessories,RGB Boom Arm,AA-19BL,22.8,2840.363436453883,2407.09,9999,4999.0,4999.0,1829.35,36.59,20.28,0.41,87,39,55,11
Audio Array,FBA79654,B0DN6MNS1X,AM-C11 Pro,Bundles,Bundles,AM-C11 Pro,23.0,2891.973248673882,2450.82,9999,5499.0,5199.0,2209.34,40.18,360.27,6.55,1210,1132,84,0
