asin,sku,brand,model,price_audioarray,price_nexlev,price_viomi,price_whitemulberry,amazon_1p_price,buybox_price,buybox_seller_id,buybox_belongs_to_us,currency,fetched_at
B0CDPQXPC1,FBK78979,Nexlev,GS-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CDPMX152,FBA78980,Nexlev,GS-02,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CDPP45BM,FBA78981,Nexlev,SC-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CDQ98FDM,FBA78994,Nexlev,NP-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CDQ55W2M,FBA78995,Nexlev,NP-02,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CDQ6G4TC,FBA78996,Nexlev,NP-03,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CDQ5Y3YB,FBA78997,Nexlev,NP-04,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CDQ5NBH8,FBA78998,Nexlev,NP-05,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CFH6C6YM,FBA79003,Nexlev,TR-05,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CW1JJP9S,FBA79174,Nexlev,DF-01-BK,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CQ2R3LPH,FBA79218,Nexlev,WF100WH-Light,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CQX9ZZMH,FBA79229,Nexlev,GS-04,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CS69T7HF,FBA79233,Nexlev,ET-01-BK,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CSG2JZ19,FBA79234,Nexlev,ET-02-GN,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CSG3FC4G,FBA79258,Nexlev,ET-03-BL,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CYSMBCB8,FBA79262,Nexlev,SC-02,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CYSLCRQS,FBA79263,Nexlev,MR-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D2LHNS9B,FBA79265,Nexlev,CR-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D2LGR3GG,FBA79266,Nexlev,T-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D2LD6BYJ,FBA79267,Nexlev,T-02,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D383WQPB,FBA79268,Nexlev,GS-05,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D83Q7L8W,FBA79271,Nexlev,V-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D2LFMY48,FBA79272,Nexlev,HS-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D2LKB4BJ,FBA79273,Nexlev,HS-02,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D2LJSQXZ,FBA79276,Nexlev,SM-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D672NXC8,FBA79277,Nexlev,SC-03,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D86ZC9YT,FBA79278,Nexlev,HD-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D8445KJN,FBA79279,Nexlev,LR-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D63FKYZ5,FBA79332,Nexlev,HM-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D63DTKQB,FBA79333,Nexlev,HM-02,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D25LNDSY,FBA79346,Nexlev,ETC-04-WH,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D842173P,FBK79347,Nexlev,ETC-05-PI,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D81DLSFT,FBA79348,Nexlev,HD-02,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D86Y2V7V,FBA79461,Nexlev,HD-02,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D9KDQCCM,FBA79349,Nexlev,SW-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0F5X2C11Z,FBA79779,Nexlev,SW-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D67727VG,FBP79350,Nexlev,EA-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D9KB2RTT,FBAM79351,Nexlev,LE-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D637B562,FBA79352,Nexlev,WF-02-BL,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D2P5TGWK,FBA79373,Nexlev,ET-01-BK,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D2P7WLJB,FBA79374,Nexlev,ET-02-GN,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D2P6KF4N,FBA79375,Nexlev,ET-03-BL,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D9KCNVNM,FBA79381,Nexlev,ETR-06,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D9KFZYG8,FBA79404,Nexlev,FS-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D9KFP4MG,FBA79405,Nexlev,HSB-03,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DCK3N2JJ,FBA79406,Nexlev,HSB-04,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DCK7ZH5P,FBA79439,Nexlev,MR-02,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DCGHKRXX,FBA79440,Nexlev,LE-02,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D9KFQG8Q,FBA79443,Nexlev,LE-03,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D9KCKY9F,FBA79451,Nexlev,SS-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DCGHVN81,FBA79452,Nexlev,VC-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DCK56Q85,FBA79463,Nexlev,VC-02,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DFCDKMWR,FBA79464,Nexlev,CM-01-BL,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DFM4JZV9,FBA79466,Nexlev,TI-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DK9LYT4P,FBA79467,Nexlev,TM-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DCK7J87D,FBA79468,Nexlev,SPM-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0GKNGWLJ2,FBK80015,Nexlev,SPM-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DCK4DR1B,FBA79469,Nexlev,LE-04,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DFCDZWND,FBA79472,Nexlev,CM-02-PR,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DJFH6RTL,FBA79473,Nexlev,TI-02,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DJFH4K8B,FBA79474,Nexlev,TIC-03,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DJFJZMC6,FBA79475,Nexlev,TIC-04,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DDC3GVZW,FBA79480,Nexlev,VC-03,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DFMRG2K4,FBA79481,Nexlev,TM-02,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DK9NRBWJ,FBA79483,Nexlev,TM-03,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DNJF1BLS,FBA79484,Nexlev,CF-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DK9QNKK8,FBA79485,Nexlev,TM-04,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DFCG2VGS,FBA79488,Nexlev,KE-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DFD123P5,FBA79489,Nexlev,KE-02,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
