asin,sku,brand,model,buybox_price,amazon_1p_price,merchant_low_price,buybox_seller_id,offer_count,error,fetched_at
B0CDPQXPC1,FBK78979,Nexlev,GS-01,,,,,,,2026-08-03T07:47:23.306798+00:00
B0CDPMX152,FBA78980,Nexlev,GS-02,,,,,,HTTP 429,2026-08-03T07:47:23.306798+00:00
B0CDPP45BM,FBA78981,Nexlev,SC-01,,,,,,HTTP 429,2026-08-03T07:47:23.306798+00:00
B0CDQ98FDM,FBA78994,Nexlev,NP-01,,,,,,,2026-08-03T07:47:23.306798+00:00
B0CDQ55W2M,FBA78995,Nexlev,NP-02,741.0,741.0,,AVYXL4PPA4XRV,1.0,,2026-08-03T07:47:23.306798+00:00
B0CDQ6G4TC,FBA78996,Nexlev,NP-03,,,,,,HTTP 429,2026-08-03T07:47:23.306798+00:00
B0CDQ5Y3YB,FBA78997,Nexlev,NP-04,,,,,,,2026-08-03T07:47:23.306798+00:00
B0CDQ5NBH8,FBA78998,Nexlev,NP-05,1199.0,,1199.0,AVYXL4PPA4XRV,1.0,,2026-08-03T07:47:23.306798+00:00
B0CFH6C6YM,FBA79003,Nexlev,TR-05,,,,,,,2026-08-03T07:47:23.306798+00:00
B0CW1JJP9S,FBA79174,Nexlev,DF-01-BK,,,,,,HTTP 429,2026-08-03T07:47:23.306798+00:00
