account,month,Section,Item,Amount,Note,pulled_at
NEXLEV,2026-08,1. SALES,"Units ordered (weekly report, order-date basis)",4892.0,different date basis from shipped,2026-09-10 16:10
NEXLEV,2026-08,1. SALES,Units shipped (what Amazon paid on),4133.0,financial basis,2026-09-10 16:10
NEXLEV,2026-08,1. SALES,Ordered but not shipped,759.0,NOT all cancellations - month-end timing + pending orders; needs All-Orders report to split,2026-09-10 16:10
NEXLEV,2026-08,1. SALES,Product sales (GST NOT included),11621287.74,P&L revenue,2026-09-10 16:10
NEXLEV,2026-08,1. SALES,Shipping and gift wrap collected,66766.37,,2026-09-10 16:10
NEXLEV,2026-08,2. RETURNS,Units refunded,567.0,,2026-09-10 16:10
NEXLEV,2026-08,2. RETURNS,"Return rate % (in-month, mixed cohorts)",13.72,these refunds mostly belong to earlier months' shipments,2026-09-10 16:10
NEXLEV,2026-08,2. RETURNS,Sale value refunded (GST NOT included),-1753159.5,,2026-09-10 16:10
NEXLEV,2026-08,2. RETURNS,Commission on refunds (ex-GST),125100.29,given back to us,2026-09-10 16:10
NEXLEV,2026-08,2. RETURNS,FixedClosingFee on refunds (ex-GST),12623.0,given back to us,2026-09-10 16:10
NEXLEV,2026-08,2. RETURNS,GiftwrapChargeback on refunds (ex-GST),25.42,given back to us,2026-09-10 16:10
NEXLEV,2026-08,2. RETURNS,RefundCommission on refunds (ex-GST),-31750.0,Amazon kept this,2026-09-10 16:10
NEXLEV,2026-08,2. RETURNS,ShippingChargeback on refunds (ex-GST),870.34,given back to us,2026-09-10 16:10
NEXLEV,2026-08,3. AMAZON FEES (ex-GST),Commission (referral),-826239.81,,2026-09-10 16:10
NEXLEV,2026-08,3. AMAZON FEES (ex-GST),FBA fulfilment,-596204.52,,2026-09-10 16:10
NEXLEV,2026-08,3. AMAZON FEES (ex-GST),Closing fee,-177166.0,,2026-09-10 16:10
NEXLEV,2026-08,3. AMAZON FEES (ex-GST),Other selling fees,-4586.44,,2026-09-10 16:10
NEXLEV,2026-08,3. AMAZON FEES (ex-GST),FBAStorageFee,-111891.38,FBA Inventory Storage Fee,2026-09-10 16:10
NEXLEV,2026-08,3. AMAZON FEES (ex-GST),FBALongTermStorageFee,-18510.93,FBA Long Term Storage Fee,2026-09-10 16:10
NEXLEV,2026-08,3. AMAZON FEES (ex-GST),FBARemovalFee,-9320.0,FBA Removal Order: Return Fee,2026-09-10 16:10
NEXLEV,2026-08,3. AMAZON FEES (ex-GST),MFNPostageFee,-1199.0,ServiceFee,2026-09-10 16:10
NEXLEV,2026-08,3. AMAZON FEES (ex-GST),TechnologyFee,0.0,RefusedDelivery,2026-09-10 16:10
NEXLEV,2026-08,3. AMAZON FEES (ex-GST),TechnologyFee,0.0,ShippingAddressUndeliverable,2026-09-10 16:10
