asin,brand,model,sku,account,referral_rs,referral_pct,variable_closing_rs,per_item_rs,fba_fees_rs,total_fees_rs,total_fees_pct,referral_rs_gross,total_fees_rs_gross,gst_rate,price_used_rs,price_source,buybox_price_rs,buybox_seller_id,buybox_belongs_to_us,currency,fetched_at
B0CDPQXPC1,Nexlev,GS-01,FBK78979,NEXLEV,113.0,4.5,0.0,52.0,115.0,280.0,11.15,133.34,330.4,0.18,2511.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0CDPMX152,Nexlev,GS-02,FBA78980,NEXLEV,102.51,4.5,0.0,52.0,115.0,269.51,11.83,120.96,318.02,0.18,2278.0,listing,2199.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0CDPP45BM,Nexlev,SC-01,FBA78981,NEXLEV,179.96,4.5,0.0,52.0,148.0,379.96,9.5,212.35,448.35,0.18,3999.0,listing,3999.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0CDQ98FDM,Nexlev,NP-01,FBA78994,NEXLEV,0.0,0.0,0.0,27.0,77.0,104.0,14.04,0.0,122.72,0.18,741.0,listing,727.0,A15YBOSC0EMOS0,False,INR,2026-07-16T11:04:23+00:00
B0CDQ55W2M,Nexlev,NP-02,FBA78995,NEXLEV,0.0,0.0,0.0,27.0,110.0,137.0,18.49,0.0,161.66,0.18,741.0,listing,699.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0CDQ6G4TC,Nexlev,NP-03,FBA78996,NEXLEV,0.0,0.0,0.0,27.0,77.0,104.0,14.04,0.0,122.72,0.18,741.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0CDQ5Y3YB,Nexlev,NP-04,FBA78997,NEXLEV,0.0,0.0,0.0,27.0,77.0,104.0,17.36,0.0,122.72,0.18,599.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0CDQ5NBH8,Nexlev,NP-05,FBA78998,NEXLEV,143.88,12.0,0.0,52.0,77.0,272.88,22.76,169.78,322.0,0.18,1199.0,listing,1199.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0CFH6C6YM,Nexlev,TR-05,FBA79003,NEXLEV,0.0,0.0,0.0,27.0,148.0,175.0,21.19,0.0,206.5,0.18,826.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0CW1JJP9S,Nexlev,DF-01-BK,FBA79174,NEXLEV,122.7,7.5,0.0,52.0,59.0,233.7,14.28,144.79,275.77,0.18,1636.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0CQ2R3LPH,Nexlev,WF100WH-Light,FBA79218,NEXLEV,262.38,12.5,0.0,52.0,110.0,424.38,20.22,309.61,500.77,0.18,2099.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0CQX9ZZMH,Nexlev,GS-04,FBA79229,NEXLEV,104.9,4.5,0.0,52.0,143.0,299.9,12.87,123.78,353.88,0.18,2331.0,listing,2287.0,A15YBOSC0EMOS0,False,INR,2026-07-16T11:04:23+00:00
B0CS69T7HF,Nexlev,ET-01-BK,FBA79233,NEXLEV,0.0,0.0,0.0,22.0,59.0,81.0,17.53,0.0,95.58,0.18,462.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0CSG2JZ19,Nexlev,ET-02-GN,FBA79234,NEXLEV,0.0,0.0,0.0,22.0,59.0,81.0,17.53,0.0,95.58,0.18,462.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
