account,cohort,units_shipped,age_months,observed_return_pct,share_of_lifetime_arrived,expected_lifetime_return_pct,mature,maturity_lag_months,lifetime_rate_from_matured_pct
AUDIOARRAY,2025-08,489.0,12,17.1779,1.0,17.1779,True,2,14.3908
AUDIOARRAY,2025-09,373.0,11,13.4048,1.0,13.4048,True,2,14.3908
AUDIOARRAY,2025-10,422.0,10,13.0332,1.0,13.0332,True,2,14.3908
AUDIOARRAY,2025-11,540.0,9,14.2593,1.0,14.2593,True,2,14.3908
AUDIOARRAY,2025-12,1254.0,8,13.2376,1.0,13.2376,True,2,14.3908
AUDIOARRAY,2026-01,1407.0,7,11.7271,1.0,11.7271,True,2,14.3908
AUDIOARRAY,2026-02,1513.0,6,10.6411,1.0,10.6411,True,2,14.3908
AUDIOARRAY,2026-03,888.0,5,15.991,1.0,15.991,True,2,14.3908
AUDIOARRAY,2026-04,678.0,4,14.8968,1.0,14.8968,True,2,14.3908
AUDIOARRAY,2026-05,854.0,3,16.7447,1.0,16.7447,True,2,14.3908
AUDIOARRAY,2026-06,867.0,2,17.1857,1.0,17.1857,True,2,14.3908
AUDIOARRAY,2026-07,925.0,1,19.5676,0.9957,19.6524,False,2,14.3908
AUDIOARRAY,2026-08,1169.0,0,13.6869,0.6625,20.6599,False,2,14.3908
