brand,model,sku,asin,category_l0,category_l1,return_units,returns_3p,returns_1p,return_value,sellable_units,unsellable_units,sellable_pct,units_sold_30d,return_pct,top_reason,last_return_at,source_files
Tonor,K1,FBA77113,B01ISNU3X4,Dynamic Microphone,Hand held Mic,23,4,19,19504.0,2,2,50.0,405,5.7,UNDELIVERABLE_REFUSED,2026-08-29T05:03:32+00:00,viomi; 1P
Tonor,S20,FBA77117,B078WNW4YW,Accessories,Microphone Isolation Shield,1,1,0,1174.0,0,1,0.0,41,2.4,SWITCHEROO,2026-06-27T04:16:20+00:00,viomi
Tonor,G11,FBA79260,B07GVGMW59,Conference Microphone,Wired,14,4,10,15512.0,2,2,50.0,201,7.0,UNDELIVERABLE_REFUSED,2026-09-01T12:25:13+00:00,viomi; 1P
Tonor,TC-777,FBA77101,B07WLWN2ZT,Condenser Microphone,Tripod,10,1,9,12060.0,0,1,0.0,69,14.5,UNWANTED_ITEM,2026-08-27T11:19:38+00:00,viomi; 1P
Tonor,TC20,FBA77104,B089SJGQBH,Condenser Microphone,Boom Arm Kit - XLR,1,1,0,3015.0,1,0,100.0,5,20.0,UNDELIVERABLE_REFUSED,2026-08-31T09:38:54+00:00,viomi
Tonor,TC30,FBA77111,B08CVP2HXP,Condenser Microphone,Tripod,13,1,12,17251.0,0,1,0.0,173,7.5,QUALITY_UNACCEPTABLE,2026-09-05T07:00:44+00:00,viomi; 1P
Tonor,TM20,FBA77110,B08NDB5NWP,Conference Microphone,Wired,5,2,3,8475.0,0,2,0.0,117,4.3,NOT_AS_DESCRIBED,2026-08-26T04:06:36+00:00,viomi; 1P
Tonor,TC40,FBA77115,B08V1JS3NY,Condenser Microphone,Boom Arm Kit - USB,3,1,2,5790.0,0,1,0.0,9,33.3,UNDELIVERABLE_REFUSED,2026-09-03T10:39:30+00:00,viomi; 1P
Audio Array,AM-C1,FBA75673,B0B4DPX2J2,Microphone Condenser,USB Microphone Kit - Boomarm,140,17,123,206635.0,8,9,47.1,2431,5.8,UNDELIVERABLE_REFUSED,2026-08-30T05:27:51+00:00,Audio Array; CRPL; 1P
Audio Array,AM-C2,FBA75674,B0B4G19R58,Microphone Condenser,XLR Microphone Kit - Boomarm,9,6,3,19079.0,5,1,83.3,204,4.4,UNDELIVERABLE_REFUSED,2026-09-05T05:01:36+00:00,Audio Array; 1P
Audio Array,AM-C11,FBA75692,B0B4G1HPL5,Microphone Dynamic,USB/XLR Dynamic Mic,6,3,3,17853.0,1,2,33.3,34,17.6,SWITCHEROO,2026-08-31T05:53:03+00:00,Audio Array; 1P
Audio Array,AM-W13,FBA75689,B0B4G59Y8W,Microphone Wireless Handheld,Wireless Microphone,18,12,6,23498.0,12,0,100.0,104,17.3,DEFECTIVE,2026-09-06T07:43:49+00:00,Audio Array; 1P
Audio Array,AM-W14,FBA75691,B0B4G5JG4P,Microphone Wireless Handheld,Wireless Microphone,15,8,7,48326.0,5,3,62.5,162,9.3,UNDELIVERABLE_REFUSED,2026-08-27T04:02:20+00:00,Audio Array; 1P
Audio Array,AA-04,FBA75684,B0B4G7VWXD,Microphone Accessories,Accessories,8,3,5,6976.0,2,1,66.7,139,5.8,UNWANTED_ITEM,2026-07-03T20:20:15+00:00,Audio Array; 1P
Audio Array,AM-C3,FBA75675,B0B4G8ZB64,Microphone Dynamic,Vocal Microphone,8,3,5,5278.0,1,2,33.3,112,7.1,DEFECTIVE,2026-09-05T11:43:48+00:00,Audio Array; 1P
Audio Array,AM-C10,FBA75690,B0B4K87PR4,Microphone Conference,Conference Microphone,3,1,2,6935.0,1,0,100.0,129,2.3,QUALITY_UNACCEPTABLE,2026-08-20T06:22:27+00:00,Audio Array; 1P
Audio Array,AM-C5,FBA75677,B0B4KC7VBM,Microphone Conference,Conference Microphone,14,5,9,18087.0,4,1,80.0,345,4.1,DEFECTIVE,2026-08-19T05:18:42+00:00,Audio Array; 1P
Tonor,TC30S,FBA79574,B0B4WTHLX5,Condenser Microphone,Tripod+RGB,3,3,0,4344.0,2,1,66.7,15,20.0,UNDELIVERABLE_REFUSED,2026-09-05T03:19:09+00:00,viomi
White Mulberry,WM-LOD-WH,FBA76417,B0BFVMDJ2K,Desk,L-Shaped Desk,27,27,0,106461.0,7,20,25.9,113,23.9,UNDELIVERABLE_REFUSED,2026-08-29T04:43:54+00:00,WhiteMulberry
White Mulberry,WM-LOD-IN,FBA76418,B0BFVNS8HS,Desk,L-Shaped Desk,6,6,0,23658.0,0,6,0.0,31,19.4,SWITCHEROO,2026-08-29T11:13:53+00:00,WhiteMulberry
White Mulberry,WM-LOD-BK,FBA76416,B0BFW59TRG,Desk,L-Shaped Desk,5,5,0,19715.0,0,5,0.0,25,20.0,SWITCHEROO,2026-08-07T09:34:30+00:00,WhiteMulberry
White Mulberry,WM-LOD-CF,FBA76415,B0BFWD6SNF,Desk,L-Shaped Desk,21,21,0,82803.0,5,16,23.8,104,20.2,UNDELIVERABLE_REFUSED,2026-09-05T06:10:32+00:00,WhiteMulberry
Audio Array,AA-05,FBA76414,B0BLJVJ2GN,Microphone Accessories,Accessories,20,5,15,5602.0,2,3,40.0,438,4.6,ORDERED_WRONG_ITEM,2026-08-28T16:09:38+00:00,Audio Array; 1P
Audio Array,AM-K1,FBA76742,B0BLKBJ5HN,Instrument Microphone Kit,Instrument Microphone - Drum Kit,8,8,0,57388.0,7,1,87.5,11,72.7,SWITCHEROO,2026-08-15T04:56:56+00:00,Audio Array
