account,asin,month,storage_fee,ltsf_fee,avg_qty_on_hand
AUDIOARRAY,B0B4DPX2J2,2026-08,1799.209,0.0,112.5
AUDIOARRAY,B0B4DS678Q,2026-08,67.6418,0.0,13.290000000000001
AUDIOARRAY,B0B4G19R58,2026-08,461.3839,0.0,18.45
AUDIOARRAY,B0B4G1HPL5,2026-08,18.416700000000002,0.0,2.71
AUDIOARRAY,B0B4G59Y8W,2026-08,147.6462,0.0,30.86
AUDIOARRAY,B0B4G5JG4P,2026-08,308.2509,0.0,34.88
AUDIOARRAY,B0B4G763WS,2026-08,81.0371,0.0,11.75
AUDIOARRAY,B0B4G7VWXD,2026-08,162.3515,0.0,30.3
AUDIOARRAY,B0B4G8PH2P,2026-08,93.29950000000001,0.0,9.290000000000001
AUDIOARRAY,B0B4G8ZB64,2026-08,12.498099999999999,0.0,3.67
AUDIOARRAY,B0B4G94VP3,2026-08,13.200199999999999,0.0,5.3100000000000005
AUDIOARRAY,B0B4JRQP22,2026-08,403.7398,0.0,19.61
AUDIOARRAY,B0B4K87PR4,2026-08,24.948999999999998,0.0,12.81
AUDIOARRAY,B0B4KC7VBM,2026-08,129.5953,0.0,28.71
AUDIOARRAY,B0BLJVJ2GN,2026-08,69.8607,0.0,16.07
AUDIOARRAY,B0BLK8DNPD,2026-08,0.7317,0.0,6.39
AUDIOARRAY,B0BLKB6FRR,2026-08,0.9973,0.0,1.42
AUDIOARRAY,B0BLKBJ5HN,2026-08,162.4932,0.0,10.610000000000001
AUDIOARRAY,B0BLKCSJ7Z,2026-08,0.2124,0.0,0.06
AUDIOARRAY,B0BLKCWZQD,2026-08,0.1416,0.0,0.81
AUDIOARRAY,B0BLKD4815,2026-08,0.236,0.0,1.03
AUDIOARRAY,B0BLRK37TB,2026-08,3.7294,0.0,1.49
AUDIOARRAY,B0BLS63XCL,2026-08,7.9603,0.0,0.77
AUDIOARRAY,B0BPLWW72Y,2026-08,12.9112,0.0,12.65
AUDIOARRAY,B0BPLZ5CGV,2026-08,229.4624,0.0,43.54
AUDIOARRAY,B0BPM2T7BQ,2026-08,22.2286,0.0,4.39
AUDIOARRAY,B0BPMN89NG,2026-08,7.4292,0.0,1.64
AUDIOARRAY,B0BQ7H7418,2026-08,113.4918,0.0,11.48
AUDIOARRAY,B0C4YTNJG7,2026-08,15.2066,0.0,1.48
AUDIOARRAY,B0C539RBGL,2026-08,0.773,0.0,0.16
AUDIOARRAY,B0C5957W3P,2026-08,0.0,0.0,4.48
AUDIOARRAY,B0C598Q6PT,2026-08,0.1888,0.0,6.39
AUDIOARRAY,B0C59G1C4N,2026-08,16.1332,0.0,1.0
AUDIOARRAY,B0CBC7QMNV,2026-08,30.8677,76.51,4.49
AUDIOARRAY,B0CBCB82MT,2026-08,110.6656,0.0,18.4
AUDIOARRAY,B0CF5R3V95,2026-08,294.8565,0.0,35.09
AUDIOARRAY,B0CF5RRTDJ,2026-08,150.0058,0.0,15.51
AUDIOARRAY,B0CF5SHL15,2026-08,82.8249,195.44,6.4799999999999995
AUDIOARRAY,B0CF5TCQKL,2026-08,151.9419,0.0,9.03
AUDIOARRAY,B0CH4PMR8K,2026-08,6.7565,0.0,1.32
AUDIOARRAY,B0CH4R1V6S,2026-08,26.8018,0.0,7.0
AUDIOARRAY,B0CH4RNWJX,2026-08,187.3648,0.0,15.06
AUDIOARRAY,B0CH4RT4P8,2026-08,84.6131,0.0,15.01
AUDIOARRAY,B0CH4T2BJD,2026-08,58.5782,0.0,4.39
AUDIOARRAY,B0CH4VCD6R,2026-08,205.91819999999998,0.0,48.26
AUDIOARRAY,B0CJR76Y7G,2026-08,8.5445,33.97,3.71
AUDIOARRAY,B0CKHVHVQ1,2026-08,129.631,0.0,37.89
AUDIOARRAY,B0CM6NTWBP,2026-08,42.3155,0.0,10.16
AUDIOARRAY,B0CM6NVLT9,2026-08,44.3628,0.0,16.25
AUDIOARRAY,B0CM6WH4ZT,2026-08,82.182,0.0,35.9
AUDIOARRAY,B0CM9HYVDM,2026-08,58.035399999999996,0.0,18.23
AUDIOARRAY,B0CM9KJZWQ,2026-08,58.8442,0.0,14.4
AUDIOARRAY,B0CM9L1QZG,2026-08,13.914299999999999,0.0,23.42
AUDIOARRAY,B0CM9P5CCK,2026-08,6.4791,47.2,8.14
AUDIOARRAY,B0CX1XK5R6,2026-08,16.192,0.0,1.0
AUDIOARRAY,B0D3LZWTHV,2026-08,138.41740000000001,78.62,20.0
AUDIOARRAY,B0D3M1B4Z8,2026-08,313.9031,0.0,19.55
AUDIOARRAY,B0D3M86SH1,2026-08,89.446,0.0,11.120000000000001
AUDIOARRAY,B0D3Q2T5XX,2026-08,36.780300000000004,0.0,4.45
AUDIOARRAY,B0DFMKY4TT,2026-08,104.1746,0.0,20.58
AUDIOARRAY,B0DFMLQBMC,2026-08,0.1003,0.0,1.46
AUDIOARRAY,B0DFMLS8JG,2026-08,180.85649999999998,0.0,25.080000000000002
AUDIOARRAY,B0DFMLXD9S,2026-08,62.9684,275.18,8.48
AUDIOARRAY,B0DFMMTWLY,2026-08,69.01689999999999,0.0,13.76
AUDIOARRAY,B0DFMNGFTD,2026-08,91.1216,0.0,5.0
AUDIOARRAY,B0DFMQCGT1,2026-08,14.923599999999999,0.0,9.0
AUDIOARRAY,B0DN6LJZBR,2026-08,30.189,0.0,1.55
AUDIOARRAY,B0DN6MNS1X,2026-08,201.19119999999998,1759.34,12.42
AUDIOARRAY,B0DN6PFWNK,2026-08,116.92600000000002,0.0,2.87
AUDIOARRAY,B0DT6T6N6B,2026-08,74.6638,0.0,77.64
AUDIOARRAY,B0DXFPM4N2,2026-08,1651.4446,0.0,28.32
AUDIOARRAY,B0F2HYY7JF,2026-08,0.0472,0.0,0.03
AUDIOARRAY,B0FF9R3GKK,2026-08,5.4052,0.0,0.62
AUDIOARRAY,B0FFB6YJM1,2026-08,875.7529,0.0,73.41
AUDIOARRAY,B0FG88HVQ8,2026-08,891.3289,0.0,170.64000000000001
AUDIOARRAY,B0FJ2DT13L,2026-08,116.0292,0.0,3.79
AUDIOARRAY,B0FJ2HZCVN,2026-08,214.55689999999998,0.0,5.0
AUDIOARRAY,B0FJ2J6MTF,2026-08,215.4775,0.0,6.03
AUDIOARRAY,B0FJ2JJZL3,2026-08,162.1336,0.0,1.19
AUDIOARRAY,B0FJ2K95XT,2026-08,41.908,0.0,1.55
AUDIOARRAY,B0FJ2LQT7K,2026-08,147.4861,868.92,6.1
AUDIOARRAY,B0FJ8PZ9H7,2026-08,90.0481,460.57,2.77
AUDIOARRAY,B0FJ8S53GW,2026-08,64.3792,0.0,3.35
AUDIOARRAY,B0FJ8S5XJ8,2026-08,191.5902,0.0,8.61
AUDIOARRAY,B0FJ8T4WXM,2026-08,65.1872,428.45,2.3899999999999997
AUDIOARRAY,B0FJ8TSQK1,2026-08,424.1259,0.0,13.59
AUDIOARRAY,B0FJ8TWCQZ,2026-08,83.911,666.95,1.3900000000000001
AUDIOARRAY,B0FJ8W5Y9Q,2026-08,78.5589,0.0,2.68
AUDIOARRAY,B0FJ8Z1W81,2026-08,84.5424,0.0,3.0
AUDIOARRAY,B0FJS57732,2026-08,581.8921,0.0,35.07
AUDIOARRAY,B0FJS7JZ4V,2026-08,140.7952,0.0,11.74
AUDIOARRAY,B0FLYHJ6DK,2026-08,26.1587,67.94,4.9
AUDIOARRAY,B0FLYJFC22,2026-08,155.7836,0.0,12.0
