label,month,scope,metric,units,value,pulled_at,shortage_age_days
AUDIOARRAY_1P,2026-08,ALL,asked,21124.0,30691569.52,2026-09-11 18:00,30
AUDIOARRAY_1P,2026-08,ALL,could_not_send,1380.0,3971454.06,2026-09-11 18:00,30
AUDIOARRAY_1P,2026-08,ALL,promised,20237.0,29627880.24,2026-09-11 18:00,30
AUDIOARRAY_1P,2026-08,ALL,arrived,5861.0,12879772.82,2026-09-11 18:00,30
AUDIOARRAY_1P,2026-08,ALL,not_arrived,14585.0,17104119.55,2026-09-11 18:00,30
AUDIOARRAY_1P,2026-08,ALL,travelling,14101.0,15304429.37,2026-09-11 18:00,30
AUDIOARRAY_1P,2026-08,ALL,missing,484.0,1799690.18,2026-09-11 18:00,30
AUDIOARRAY_1P,2026-08,ALL,extra,209.0,356012.13,2026-09-11 18:00,30
AUDIOARRAY_1P,2026-08,ALL,pos,40.0,585.0,2026-09-11 18:00,30
AUDIOARRAY_1P,2026-08,Audio Array,promised,1756.0,4520367.97,2026-09-11 18:00,30
AUDIOARRAY_1P,2026-08,Audio Array,arrived,1330.0,2768930.0,2026-09-11 18:00,30
AUDIOARRAY_1P,2026-08,Audio Array,missing,426.0,1751437.97,2026-09-11 18:00,30
AUDIOARRAY_1P,2026-08,Tonor,promised,269.0,403493.51,2026-09-11 18:00,30
AUDIOARRAY_1P,2026-08,Tonor,arrived,257.0,355241.3,2026-09-11 18:00,30
AUDIOARRAY_1P,2026-08,Tonor,missing,12.0,48252.21,2026-09-11 18:00,30
