week,brand,model,channel,asin,units_sold,gross_sales,gmv,nlc,sales_nlc,sku,sku_status,category_l0,category_l1,category_l2,asin_type
Week 10,Audio Array,AA-01,1p Sales,B0B4G8PH2P,4.0,7284.74,7284.74,1224.4990306619115,4897.996122647646,FBA75678,MAPPED,Microphone Accessories,Accessories,,Medium
Week 10,Audio Array,AA-01,Amazon,B0B4G8PH2P,0.0,0.0,0.0,1224.4990306619115,0.0,FBA75678,MAPPED,Microphone Accessories,Accessories,,Medium
Week 10,Audio Array,AA-02,1p Sales,B0B4JRQP22,4.0,8468.65,8468.65,1330.2810372750002,5321.124149100001,FBA75679,MAPPED,Microphone Accessories,Accessories,,Medium
Week 10,Audio Array,AA-02,Amazon,B0B4JRQP22,3.0,6438.13559322034,6438.13559322034,1330.2810372750002,3990.843111825001,FBA75679,MAPPED,Microphone Accessories,Accessories,,Medium
Week 10,Audio Array,AA-03,1p Sales,B0B4G94VP3,9.0,3800.83,3800.83,179.96359429411766,1619.672348647059,FBA75683,MAPPED,Microphone Accessories,Accessories,,Medium
Week 10,Audio Array,AA-03,Amazon,B0B4G94VP3,0.0,0.0,0.0,179.96359429411766,0.0,FBA75683,MAPPED,Microphone Accessories,Accessories,,Medium
Week 10,Audio Array,AA-03,B2B,B0B4G94VP3,20.0,5932.203,5932.203,179.96359429411766,3599.271885882353,FBA75683,MAPPED,Microphone Accessories,Accessories,,Medium
Week 10,Audio Array,AA-04,1p Sales,B0B4G7VWXD,10.0,14398.33,14398.33,871.9473036705882,8719.473036705882,FBA75684,MAPPED,Microphone Accessories,Accessories,,Medium
Week 10,Audio Array,AA-04,Amazon,B0B4G7VWXD,8.0,11476.27118644068,11476.27118644068,871.9473036705882,6975.578429364706,FBA75684,MAPPED,Microphone Accessories,Accessories,,Medium
Week 10,Audio Array,AA-04,B2B,B0B4G7VWXD,10.0,10084.75,10084.75,871.9473036705882,8719.473036705882,FBA75684,MAPPED,Microphone Accessories,Accessories,,Medium
Week 10,Audio Array,AA-05,1p Sales,B0BLJVJ2GN,38.0,21251.7,21251.7,280.0829144294117,10643.150748317645,FBA76414,MAPPED,Microphone Accessories,Accessories,,Core
Week 10,Audio Array,AA-05,Amazon,B0BLJVJ2GN,3.0,1650.0,1650.0,280.0829144294117,840.2487432882351,FBA76414,MAPPED,Microphone Accessories,Accessories,,Core
Week 10,Audio Array,AA-05,B2B,B0BLJVJ2GN,2.0,771.1864,771.1864,280.0829144294117,560.1658288588234,FBA76414,MAPPED,Microphone Accessories,Accessories,,Core
Week 10,Audio Array,AA-06,1p Sales,B0BQ7H7418,5.0,5504.24,5504.24,598.3056269558823,2991.5281347794116,FBA76597,MAPPED,Microphone Accessories,Accessories,,Medium
Week 10,Audio Array,AA-06,Amazon,B0BQ7H7418,0.0,0.0,0.0,598.3056269558823,0.0,FBA76597,MAPPED,Microphone Accessories,Accessories,,Medium
Week 10,Audio Array,AA-06,B2B,B0BQ7H7418,2.0,1542.373,1542.373,598.3056269558823,1196.6112539117646,FBA76597,MAPPED,Microphone Accessories,Accessories,,Medium
Week 10,Audio Array,AA-19,1p Sales,B0CF5R3V95,29.0,93643.1,93643.1,1960.237563966397,56846.88935502551,FBA78973,MAPPED,Microphone Accessories,Accessories,,Core
Week 10,Audio Array,AA-19,Amazon,B0CF5R3V95,0.0,0.0,0.0,1960.237563966397,0.0,FBA78973,MAPPED,Microphone Accessories,Accessories,,Core
Week 10,Audio Array,AA-19,B2B,B0CF5R3V95,2.0,4508.475,4508.475,1960.237563966397,3920.475127932794,FBA78973,MAPPED,Microphone Accessories,Accessories,,Core
Week 10,Audio Array,AA-19BL,1p Sales,B0D3M86SH1,5.0,20758.47,20758.47,2973.2121576,14866.060787999999,FBA79355,MAPPED,Microphone Accessories,Accessories,,Medium
Week 10,Audio Array,AA-19BL,Amazon,B0D3M86SH1,0.0,0.0,0.0,2973.2121576,0.0,FBA79355,MAPPED,Microphone Accessories,Accessories,,Medium
Week 10,Audio Array,AA-19BL,B2B,B0D3M86SH1,2.0,5813.559,5813.559,2973.2121576,5946.4243152,FBA79355,MAPPED,Microphone Accessories,Accessories,,Medium
Week 10,Audio Array,AA-19WL,1p Sales,B0D3Q2T5XX,3.0,12539.83,12539.83,2973.2121576,8919.6364728,FBA79356,MAPPED,Microphone Accessories,Accessories,,Medium
