amazon-order-id,merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,ship-service-level,product-name,sku,asin,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,is-business-order,purchase-order-number,price-designation,fulfilled-by,is-iba,order-item-id,is-prime
404-0629786-6360323,404-0629786-6360323,2026-08-31T19:12:41+00:00,2026-09-01T03:39:57+00:00,Shipped,Amazon,Amazon.in,,Expedited,Nexlev Portable Sewing Machine| 2 Speed Settings| Cordless| Battery operated| USB Type C cord for Plug-in| Quick Fix DIY|Portable & Compact| for all F,FBA79349,B0D9KDQCCM,Shipped,1,INR,999.0,,,,,,,,VIJAPURA,KARNATAKA,586101,IN,,false,,,,false,67154604896082,false
406-2061181-6787501,406-2061181-6787501,2026-08-31T18:45:04+00:00,2026-09-01T05:57:09+00:00,Shipped,Amazon,Amazon.in,,Expedited,NexLev Steam Cleaner | Complete Home Kitchen Floor Bathroom Car & Office | Steam Cleaner for Home With 9 Accessories | 450 ML | Window Pane Sink Grime,FBA79652,B0F43P6D23,Shipped,1,INR,3709.0,,,,,,,,THANE,MAHARASHTRA,400607,IN,,true,1,,,false,67153730958762,false
406-2061181-6787501,406-2061181-6787501,2026-08-31T18:45:04+00:00,2026-09-01T05:57:09+00:00,Shipped,Amazon,Amazon.in,,Expedited,nexlev Accessory Kit for 10-in-1 Steam Cleaner & Mop SC-04,FBA79843,B0FMF1D9NV,Shipped,1,INR,899.0,,,,,,,,THANE,MAHARASHTRA,400607,IN,,true,1,Business Price,,false,67153730958802,false
406-2061181-6787501,406-2061181-6787501,2026-08-31T18:45:04+00:00,2026-09-01T05:57:09+00:00,Shipped,Amazon,Amazon.in,,Expedited,Nexlev 10-in-1 Foldable Steam Cleaner & Mop| 2 Steam Modes| All Surfaces & Upholstery| 12 Accessories| 350ml Tank| 5M Cord|Swivel Design|Powerful Chem,FBA79567,B0DNJS23HS,Shipped,1,INR,5999.0,,,,,,,,THANE,MAHARASHTRA,400607,IN,,true,1,Business Price,,false,67154342140122,false
402-3903975-6391544,402-3903975-6391544,2026-08-31T18:31:37+00:00,2026-09-01T07:38:00+00:00,Shipped,Amazon,Amazon.in,,Expedited,NexLev Steam Cleaner | Complete Home Kitchen Floor Bathroom Car & Office | Steam Cleaner for Home With 9 Accessories | 450 ML | Window Pane Sink Grime,FBA79652,B0F43P6D23,Shipped,1,INR,3498.0,,,,,,,,HYDERABAD,TELANGANA,500049,IN,,false,,,,false,67153579771482,false
403-5901292-5882751,,2026-08-31T18:25:15+00:00,2026-09-05T07:21:00+00:00,Shipped - Rejected by Buyer,Merchant,Amazon.in,WebsiteOrderChannel,Standard,NexLev Steam Cleaner | Complete Home Kitchen Floor Bathroom Car & Office | Steam Cleaner for Home With 9 Accessories | 450 ML | Window Pane Sink Grime Chimney Grease Water Stain Cleaner | 1050W,FBM79652,B0F43P6D23,Shipped,1,INR,3499.0,533.75,,,,,,,BENGALURU,KARNATAKA,560058,IN,,false,,,Easy Ship,false,67151851807002,false
406-8554088-7774722,406-8554088-7774722,2026-08-31T18:17:35+00:00,2026-09-02T03:49:11+00:00,Shipped,Amazon,Amazon.in,,Expedited,NexLev Steam Cleaner | Complete Home Kitchen Floor Bathroom Car & Office | Steam Cleaner for Home With 9 Accessories | 450 ML | Window Pane Sink Grime,FBA79652,B0F43P6D23,Shipped,1,INR,3709.0,,,,,,,,MUMBAI,MAHARASHTRA,400033,IN,,false,,,,false,67153383706722,false
408-9929392-1889968,408-9929392-1889968,2026-08-31T18:12:50+00:00,2026-09-01T13:40:05+00:00,Shipped,Amazon,Amazon.in,,Expedited,NexLev Steam Cleaner | Complete Home Kitchen Floor Bathroom Car & Office | Steam Cleaner for Home With 9 Accessories | 450 ML | Window Pane Sink Grime,FBA79652,B0F43P6D23,Shipped,1,INR,3498.0,,,,,,,,NEW DELHI,DELHI,110063,IN,,false,,,,false,67152328459642,false
402-1001501-3728357,402-1001501-3728357,2026-08-31T18:12:34+00:00,2026-08-31T20:46:39+00:00,Shipped,Amazon,Amazon.in,,Expedited,NexLev Steam Cleaner | Complete Home Kitchen Floor Bathroom Car & Office | Steam Cleaner for Home With 9 Accessories | 450 ML | Window Pane Sink Grime,FBA79652,B0F43P6D23,Shipped,1,INR,3498.0,,,,,,,,BENGALURU,KARNATAKA,560062,IN,,false,,,,false,67150859283362,false
404-9940794-4471558,404-9940794-4471558,2026-08-31T18:11:55+00:00,2026-09-01T07:48:03+00:00,Shipped,Amazon,Amazon.in,,Expedited,"NexLev Hot Air Brush For Hair | V-03 3 in 1 Volumizer Hair Blow Dry Brush with 1.5 Inch Barrel, Ceramic Tourmaline Coating, 1200W, Dual Bristle for Ta",FBA79493,B0DQCWRG3H,Shipped,1,INR,1999.0,,40.0,,,,,40.0,NEW DELHI,DELHI,110033,IN,,false,,,,false,67151816593042,false
