"sku","fnsku","asin","product-name","condition","your-price","mfn-listing-exists","mfn-fulfillable-quantity","afn-listing-exists","afn-warehouse-quantity","afn-fulfillable-quantity","afn-unsellable-quantity","afn-reserved-quantity","afn-total-quantity","per-unit-volume","afn-inbound-working-quantity","afn-inbound-shipped-quantity","afn-inbound-receiving-quantity","afn-researching-quantity","afn-reserved-future-supply","afn-future-supply-buyable","store"
"B0DNJS23HS","X002IO2RF5","B0DNJS23HS","Nexlev Steam Mop Floor Cleaner | SC-04 Steam Cleaner For Home With 2 Modes, 350ML Tank, Detachable Foldable Design For Car, Sofa, Bathroom, Kitchen & Multi-Surface Cleaning","New","6359.00","No",,"Yes","0","0","0","0","0","27063.73","0","0","0","0","0","0",
"FBA78980","X001U1DYK9","B0CDPMX152","Nexlev Steam Iron Handheld For Clothes | Hand Iron Steamer For Clothes 1500W Garment Steamer | 300ML Tank | Vertical & Horizontal Steam Press for Clothes | 25s Quick Heat | Travel Friendly GS-02","New","2199.00","No",,"Yes","165","39","7","119","165","9311.62","0","0","0","0","0","0",
"FBA78981","X001U1K281","B0CDPP45BM","NexLev Steam Cleaner | For Complete Home Kitchen Bathroom Car Sofa & Office | Steam Cleaner For Home With 9 Accessories | 300 ML | Window Pane, Sink, Chimney Grease, Water Stain Cleaner | 1000W","New","3999.00","No",,"Yes","203","175","14","14","203","13042.3","0","0","0","0","0","0",
"FBA78994","X001U1NPIZ","B0CDQ98FDM","nexlev Travel Neck Pillow | Orthopedic Premium Memory Foam | for Airplane, Car, Train, Office use & Cervical Pain | Machine Washable | 360 Support | Carry Pouch for Storage | NP-01","New","785.00","No",,"Yes","0","0","0","0","0","3263.65","0","0","0","0","0","0",
"FBA78995","X001U1NNHX","B0CDQ55W2M","nexlev Travel Neck Pillow | Orthopedic Premium Memory Foam | for Airplane, Car, Train, Office use & Cervical Pain | Machine Washable | 360 Support | Carry Pouch for Storage | NP-02","New","741.00","No",,"Yes","12","4","1","7","12","4601.16","0","0","0","0","0","0",
"FBA78996","X001U1LQD1","B0CDQ6G4TC","nexlev Travel Neck Pillow | Orthopedic Premium Memory Foam | for Airplane, Car, Train, Office use & Cervical Pain | Machine Washable | 360 Support | Carry Pouch for Storage | NP-03","New","741.00","No",,"Yes","1","0","0","1","1","3373.11","0","0","0","0","0","0",
"FBA79174","X001YQRAJV","B0CW1JJP9S","Nexlev Dental Flosser| 6 Water Pressures| 4 Cleaning Modes| 2 Nozzle Tips, Tongue Cleaner, Carry Case for Tips| USB-C Charging| 1500mAh| 250ml Tank| IPX7 Water Proof| Carry Pouch | Aqua DF-01-BK","New","1636.00","No",,"Yes","1","1","0","0","1","1569.39","0","0","0","0","0","0",
"FBA79229","X001XIENRR","B0CQX9ZZMH","NexLev Handheld Garment Steamer |1800 Watts | 35 g/min | 300 ML | Vertical & Horizontal Ironing for Silk Velvet & | Damage Free Steam for all Cloth Types | 25sec quick heat | 3 Brushes | GS-04","New","2225.00","No",,"Yes","6","6","0","0","6","9656.73","0","0","0","0","0","0",
"FBA79262","X001ZOM871","B0CYSMBCB8","NexLev Steam Cleaner | For Complete Home Kitchen Bathroom Window Car & Office Cleaning | 9 Accessories | 450 ML | Window Pane Sink Grime Chimney Grease Water Stain Cleaner| 4 Meter Cord | 1000W |SC-02","New","2572.00","No",,"Yes","3","0","1","0","3","10913.95","0","0","0","2","0","0",
"FBA79263","X001ZOLVQP","B0CYSLCRQS","NexLev Mattress, Sofa & Carpet Vacuum Cleaner | For Dust Mites, Allergens & Pet Hair | 4 Step Cleansing with Double Beat, UV Light, Dehumidification & Vacuum | HEPA captures 99.99% Dust|MR-01","New","2999.00","No",,"Yes","260","243","9","8","290","15505.11","12","18","0","0","0","0",
