ASIN,Qty,OpenPOUnits,Aged90PlusUnits,UnsellableUnits,SellableCost,SnapshotDate
B07JGQ9L5B,798,0,109,52,397695.46,2026-07-11
B07Y1C6GDS,758,0,51,15,1972782.72,2026-07-11
B09Q2ZZGH2,702,0,122,9,1630364.44,2026-07-11
B06XCKGLTP,511,30,0,8,874652.36,2026-07-11
B07JJ62B1B,457,0,457,4,925577.67,2026-07-11
B09JG62KDJ,434,3,51,5,836674.37,2026-07-11
B07JHDKXK4,427,0,84,28,1000982.94,2026-07-11
B0BMFQP2ZZ,188,10,0,0,682302.14,2026-07-11
B08CF614NK,185,0,176,3,663489.76,2026-07-11
B07JHMWKBF,172,0,48,3,42471.55,2026-07-11
B0002OOMW6,162,0,155,0,65950.21,2026-07-11
B09LCL456X,161,0,159,8,193614.81,2026-07-11
B09XKD3H6C,156,4,20,1,359329.48,2026-07-11
B08FW1Q676,150,0,149,11,472565.33,2026-07-11
B084P1CXFD,115,2,103,2,1027532.17,2026-07-11
B09V12PT9H,88,0,0,0,173940.46,2026-07-11
B09BQQTLC8,86,0,0,0,53441.18,2026-07-11
B07RM4B5LJ,70,0,7,0,537376.45,2026-07-11
B000EEJBDE,59,12,0,1,20812.74,2026-07-11
B09V14JDTF,57,0,0,0,112665.98,2026-07-11
B0002DUS8E,57,7,1,1,23496.86,2026-07-11
B07RL6VG3H,56,0,0,2,420033.18,2026-07-11
B09L7ZXKKF,54,0,54,0,395842.63,2026-07-11
B09GTMFRGB,42,0,42,1,147232.13,2026-07-11
B0BFBDT2D2,38,1,0,0,530407.9,2026-07-11
B000EEL9G6,38,14,8,0,13383.21,2026-07-11
B00BSL5Z1E,37,0,0,0,649623.32,2026-07-11
B001D7UYBO,31,20,0,2,290523.95,2026-07-11
B00MMKQOEM,31,11,30,0,492848.93,2026-07-11
B00T8L17N6,23,15,0,1,8431.22,2026-07-11
B07G4CCMYL,23,0,8,0,126359.98,2026-07-11
B00KQEXK2A,22,5,6,2,139487.02,2026-07-11
B088NFWLZP,22,0,22,1,31726.51,2026-07-11
B09NZY68GM,21,0,5,0,44932.15,2026-07-11
B001EM180O,20,0,19,0,378873.93,2026-07-11
B00HVUSRY8,18,37,0,0,15791.25,2026-07-11
B017LUP20O,17,0,0,0,116119.17,2026-07-11
B000XXO7B2,17,0,1,1,262160.71,2026-07-11
B00JDJ89DE,17,22,1,0,21243.68,2026-07-11
B003AYM8BW,16,0,16,0,11024.87,2026-07-11
B00B5LEAFE,16,3,0,1,6696.53,2026-07-11
B07FYQP9ML,16,0,2,0,286297.62,2026-07-11
B003B0CEVY,15,0,15,0,6195.49,2026-07-11
B000EENF4U,14,35,0,0,4488.51,2026-07-11
B00X5TXLN6,14,0,0,0,83796.62,2026-07-11
B07XD6H6P6,13,0,0,0,505727.99,2026-07-11
B07X8Z1BRG,13,107,0,0,227577.65,2026-07-11
B00JDIE0AG,13,0,0,0,14192.12,2026-07-11
B00JDJNZ6K,13,0,0,0,4342.34,2026-07-11
B083F7HJMX,12,0,0,0,5120.4,2026-07-11
B06XF43R53,12,2,3,0,4603.46,2026-07-11
B00B3PB11I,12,0,12,0,45471.59,2026-07-11
B0002J6I7S,12,0,12,0,21541.7,2026-07-11
B074SYXZV9,12,0,12,0,352287.83,2026-07-11
B0BF9MN8R2,11,2,7,0,48478.41,2026-07-11
B0924G6DJX,11,0,0,0,18833.82,2026-07-11
B003B01KV4,11,0,11,0,7579.6,2026-07-11
B00BL70Y7U,11,0,0,0,188411.88,2026-07-11
B003XEXGNS,10,0,0,0,61984.9,2026-07-11
B081S9BCHF,10,2,0,0,228338.04,2026-07-11
B00EGHMOZC,9,0,0,0,122483.68,2026-07-11
B09241VBTP,9,1,0,0,15409.49,2026-07-11
B0749GV5L3,9,2,0,0,243190.21,2026-07-11
B003B063G6,9,0,8,0,4196.33,2026-07-11
B0BF9PCGM8,8,12,0,0,26762.29,2026-07-11
B00OB47PF4,8,0,2,0,12019.41,2026-07-11
B08FRYTVSZ,8,0,0,0,11576.91,2026-07-11
B00LM7ZV1I,7,0,7,0,2660.21,2026-07-11
B00O46Y8F4,7,0,1,0,10516.06,2026-07-11
B00KQPGRRE,7,0,7,0,88012.95,2026-07-11
B003B03XB4,7,0,1,0,2932.23,2026-07-11
B003AMV7SO,7,3,0,0,3178.25,2026-07-11
B0030YGHDM,7,0,0,0,31873.52,2026-07-11
B06XF31654,7,1,0,0,2716.21,2026-07-11
B07QKWFTK1,7,0,7,1,78406.19,2026-07-11
B01N6448Q4,7,0,0,0,27255.88,2026-07-11
B003ZVBO8I,7,0,5,0,7123.06,2026-07-11
B0002DUS16,6,0,6,0,3108.25,2026-07-11
B06Y25Y2LK,6,0,0,0,24511.94,2026-07-11
B07RM21D8X,6,0,4,0,56552.47,2026-07-11
B07N29RF9W,6,0,0,0,174715.8,2026-07-11
B0030YEPKY,6,0,1,0,68964.45,2026-07-11
B09NQBDGT3,6,10,0,1,56339.35,2026-07-11
B009X3PM08,5,0,5,2,44724.78,2026-07-11
B0019ENBAW,5,0,5,0,5080.9,2026-07-11
B0002E3L00,5,0,5,0,5935.47,2026-07-11
B0002E2OSU,5,0,0,0,6221.49,2026-07-11
B00LE6IE0C,5,0,5,0,40828.23,2026-07-11
B0030YD3IY,5,0,0,0,23907.89,2026-07-11
B073W8ZYPJ,5,0,5,0,8449.47,2026-07-11
B0002F7J5M,5,0,2,0,7971.63,2026-07-11
B0064RD6B8,5,0,5,0,6950.55,2026-07-11
B0002KZDGY,5,0,0,0,5460.43,2026-07-11
B000979O0G,5,0,5,0,42738.38,2026-07-11
B018BPG6U8,5,0,0,0,12340.97,2026-07-11
B07LFTTWGR,5,0,0,0,81206.41,2026-07-11
