ASIN,Qty,OpenPOUnits,Aged90PlusUnits,UnsellableUnits,SellableCost,SnapshotDate
B09TB19NBS,0,0,0,2,0.0,2026-07-17
B08LN5YYS9,0,0,0,2,0.0,2026-07-17
B08XR871L7,0,0,0,6,0.0,2026-07-17
B0C7MY6RVY,0,0,0,2,0.0,2026-07-17
B08XR6CD2J,0,0,0,3,0.0,2026-07-17
B08XR7W266,0,0,0,4,0.0,2026-07-17
B09MFLVD6J,0,0,0,1,0.0,2026-07-17
B09NL2GHZJ,0,0,0,4,0.0,2026-07-17
B0C7MZBL4R,0,0,0,2,0.0,2026-07-17
B09MRYJ6CW,0,0,0,6,0.0,2026-07-17
B08XR7SH9C,0,0,0,1,0.0,2026-07-17
B07FDYYMJQ,0,0,0,1,0.0,2026-07-17
B07FF3FQTB,0,0,0,25,0.0,2026-07-17
B09RB819CZ,0,0,0,2,0.0,2026-07-17
B08XRB5M9L,0,0,0,1,0.0,2026-07-17
B08XRB3LN4,0,0,0,4,0.0,2026-07-17
B08XR7TXLF,0,0,0,1,0.0,2026-07-17
B09MC1Z4VS,0,0,0,1,0.0,2026-07-17
B07FDXW5JR,0,0,0,12,0.0,2026-07-17
B08XR6CP96,0,0,0,1,0.0,2026-07-17
