"sku","fnsku","asin","product-name","condition","your-price","mfn-listing-exists","mfn-fulfillable-quantity","afn-listing-exists","afn-warehouse-quantity","afn-fulfillable-quantity","afn-unsellable-quantity","afn-reserved-quantity","afn-total-quantity","per-unit-volume","afn-inbound-working-quantity","afn-inbound-shipped-quantity","afn-inbound-receiving-quantity","afn-researching-quantity","afn-reserved-future-supply","afn-future-supply-buyable","store"
"FBA65953","X000S8H75X","B075YP6Y69","Saregama Carvaan Hindi - Portable Music Player with 5000 Preloaded Songs, FM/BT/AUX (Oak Wood Brown)","New","6990.00","No",,"Yes","0","0","0","0","0","16916.69","0","0","0","0","0","0",
"FBA65954","X000S8HT97","B075724BVF","Saregama Carvaan Hindi - Portable Music Player with 5000 Preloaded Songs, FM/BT/AUX (Porcelain White)","New","6990.00","No",,"Yes","3","2","0","1","3","13184.05","0","0","0","0","0","0",
"FBA67516","X000W4DIWT","B07FMPRTX3","Jabra Talk 15 Wireless Bluetooth On Ear Headset with Mic (Black)","New","999.00","No",,"Yes","0","0","0","0","0","273.01","0","0","0","0","0","0",
"FBA71998","X0013DU781","B07SRVV8V4","Fossil Gen 5 Carlyle Stainless Steel Touchscreen Men's Smartwatch with Speaker, Heart Rate, GPS and Smartphone Notifications - FTW4024","New","22995.00","No",,"Yes","0","0","0","0","0","1074.01","0","0","0","0","0","0",
"FBA72073","X0013ENUPH","B07QW9DDGB","Michael Kors Maci Blue Watch MK2833","New","14495.00","No",,"Yes","1","1","0","0","1","2884.94","0","0","0","0","0","0",
"FBA72558","X0014OAN3X","B07GZHQFYR","Saregama Carvaan Mini Hindi 2.0- Music Player with Bluetooth/FM/AM/AUX (Sunset Red)","New","2490.00","No",,"Yes","3","0","1","2","3","912.43","0","0","0","0","0","0",
"FBA72562","X0014OD9O3","B07LDHVWTF","Saregama Carvaan Mini 2.0 Gurbani- Music Player with Bluetooth/FM/AM/AUX (Saffron Orange)","New","2490.00","No",,"Yes","40","40","0","0","60","875.07","0","20","0","0","0","0",
"FBA72563","X0014OCBZL","B07RMH1BMS","Saregama SCM02 Carvaan Mini Malayalam Bluetooth Speaker (Sunset Red)","New","2490.00","No",,"Yes","60","60","0","0","125","900.47","0","65","0","0","0","0",
"FBA72564","X0014OD9OX","B07LDJJ4JP","Saregama Carvaan Mini 2.0 Tamil- Music Player with Bluetooth/FM/AM/AUX (Sunset Red)","New","2490.00","No",,"Yes","78","77","1","0","163","2670.76","0","84","1","0","0","0",
"FBA72566","X0014OCC0F","B07N6KCJM4","Saregama Carvaan Mini 2.0 Telugu- Music Player with Bluetooth/FM/AM/AUX (Sunset Red)","New","2490.00","No",,"Yes","20","20","0","0","48","851.64","0","28","0","0","0","0",
