seller_account,return-date,asin,sku,quantity,product-name
CAMBIUMRETAIL,2026-08-21T11:53:30+00:00,B07WGWGMBM,FBA80118,1,Fossil Analog Blue Dial Men's Watch - FS5661
CAMBIUMRETAIL,2026-08-16T11:10:08+00:00,B07WGWGMBM,FBA80118,1,Fossil Analog Blue Dial Men's Watch - FS5661
CAMBIUMRETAIL,2026-08-16T03:32:51+00:00,B07WGWGMBM,FBA80118,1,Fossil Analog Blue Dial Men's Watch - FS5661
CAMBIUMRETAIL,2026-07-19T09:15:46+00:00,B07WGWGMBM,FBA80118,1,Fossil Analog Blue Dial Men's Watch - FS5661
CAMBIUMRETAIL,2026-07-18T12:35:05+00:00,B07WGWGMBM,FBA80118,1,Fossil Analog Blue Dial Men's Watch - FS5661
CAMBIUMRETAIL,2026-07-16T08:17:41+00:00,B07WGWGMBM,FBA80118,1,Fossil Analog Blue Dial Men's Watch - FS5661
CAMBIUMRETAIL,2026-07-13T09:19:12+00:00,B07RMH1F26,FBA72907,1,Saregama Carvaan Mini 2.0 Kannada- Music Player with Bluetooth/FM/AM/AUX (Sunset Red)
CAMBIUMRETAIL,2026-07-12T13:47:20+00:00,B07LDJJ4JP,FBA72564,1,Saregama Carvaan Mini 2.0 Tamil- Music Player with Bluetooth/FM/AM/AUX (Sunset Red)
CAMBIUMRETAIL,2026-06-28T06:45:21+00:00,B07LDJJ4JP,FBA72564,1,Saregama Carvaan Mini 2.0 Tamil- Music Player with Bluetooth/FM/AM/AUX (Sunset Red)
CAMBIUMRETAIL,2026-06-18T09:14:28+00:00,B07LDJJ4JP,FBA72564,1,Saregama Carvaan Mini 2.0 Tamil- Music Player with Bluetooth/FM/AM/AUX (Sunset Red)
CAMBIUMRETAIL,2026-06-18T08:03:47+00:00,B07WGWGMBM,FBA80118,1,Fossil Analog Blue Dial Men's Watch - FS5661
CAMBIUMRETAIL,2026-06-17T03:27:32+00:00,B07RMH1BMS,FBA72563,1,Carvaan Saregama SCM02 Mini Malayalam Bluetooth Speaker (Sunset Red)
CAMBIUMRETAIL,2026-06-14T04:12:58+00:00,B07WGWGMBM,FBA80118,1,Fossil Analog Blue Dial Men's Watch - FS5661
CAMBIUMRETAIL,2026-06-13T06:29:30+00:00,B085YFCGNF,FBA74027,1,Saregama Carvaan Mini 2.0 Marathi (Sadabahar Gaani) - Music Player with Bluetooth/FM/AM/AUX (Sunset Red)
CAMBIUMRETAIL,2026-06-02T10:05:07+00:00,B07LDJJ4JP,FBA72564,1,Saregama Carvaan Mini 2.0 Tamil- Music Player with Bluetooth/FM/AM/AUX (Sunset Red)
CAMBIUMRETAIL,2026-05-31T08:12:34+00:00,B07WGWGMBM,FBA80118,1,Fossil Analog Blue Dial Men's Watch - FS5661
VIOMI,2026-08-22T17:29:43+00:00,B08CF614NK,FBA76745,1,"MAONO AU-PM422 Podcast Microphone with Zero Latency Monitoring, 192KHZ/24BIT Professional Cardioid Condenser Mic with Touch Mute Button and Mic Gain Knob for Recording, Podcasting, Gaming, YouTube"
VIOMI,2026-08-22T07:23:12+00:00,B00FFIGZF6,FBA80172,1,Behringer U-PHORIA UMC22 Audiophile 2x2 USB Audio Interface with MIDAS Mic Preamplifier
VIOMI,2026-08-20T10:18:43+00:00,B07JJ62B1B,FBA78346,1,Maono AU-A03 Condenser Microphone Kit Podcast Mic with Boom Arm Microphone Stand (Black)
VIOMI,2026-08-19T07:17:47+00:00,B07JJ62B1B,FBA78346,1,Maono AU-A03 Condenser Microphone Kit Podcast Mic with Boom Arm Microphone Stand (Black)
VIOMI,2026-08-19T07:12:14+00:00,B07JHDKXK4,FBA78345,1,MAONO AU-A04 Condenser Microphone Kit (Black)
VIOMI,2026-08-15T07:23:48+00:00,B00FFIGZF6,FBA80172,1,Behringer U-PHORIA UMC22 Audiophile 2x2 USB Audio Interface with MIDAS Mic Preamplifier
VIOMI,2026-08-15T06:04:12+00:00,B07JJ62B1B,FBA78346,1,Maono AU-A03 Condenser Microphone Kit Podcast Mic with Boom Arm Microphone Stand (Black)
VIOMI,2026-08-13T05:00:46+00:00,B00FFIGZF6,FBA80172,1,Behringer U-PHORIA UMC22 Audiophile 2x2 USB Audio Interface with MIDAS Mic Preamplifier
VIOMI,2026-08-13T03:50:46+00:00,B001QXCYZY,FBA80139,1,Behringer C-1U Condenser Microphone Cardioid
VIOMI,2026-08-12T11:33:42+00:00,B08CF614NK,FBA76745,1,"MAONO AU-PM422 Podcast Microphone with Zero Latency Monitoring, 192KHZ/24BIT Professional Cardioid Condenser Mic with Touch Mute Button and Mic Gain Knob for Recording, Podcasting, Gaming, YouTube"
VIOMI,2026-08-12T11:19:58+00:00,B005EHILV4,FBA80140,1,"Behringer 302USB Premium 5-Input Analog Audio Mixer with XENYX Mic Preamp and USB/Audio Interface, Black"
VIOMI,2026-08-12T04:22:45+00:00,B07JJ62B1B,FBA78346,1,Maono AU-A03 Condenser Microphone Kit Podcast Mic with Boom Arm Microphone Stand (Black)
VIOMI,2026-08-11T04:04:47+00:00,B0FH43K6NT,FBA79853,1,"Nektar Impact LX25 mk3 MIDI Keyboard Controller | 25 Key Velocity-Sensitive Keyboard with DAW Integration, Pads, Faders, Encoders, Scale & Chord Mode, NKS Support, Compatible with Mac/PC"
VIOMI,2026-08-09T07:19:47+00:00,B001QXCYZY,FBK80139,1,Behringer C-1U Condenser Microphone Cardioid
VIOMI,2026-08-09T05:35:32+00:00,B0BLSMX1QP,FBA76694,1,"MAONO AU-PM471TS Condenser USB Microphone for PC, with Metal Pop Filter, Tripod, Gain Knob & 0-Latency Monitoring for YouTube, Podcasting, Streaming"
VIOMI,2026-08-07T08:32:29+00:00,B00FFIGZF6,FBA80172,1,Behringer U-PHORIA UMC22 Audiophile 2x2 USB Audio Interface with MIDAS Mic Preamplifier
VIOMI,2026-08-07T03:57:39+00:00,B07JJ62B1B,FBA78346,1,Maono AU-A03 Condenser Microphone Kit Podcast Mic with Boom Arm Microphone Stand (Black)
VIOMI,2026-08-06T20:47:54+00:00,B07JJ62B1B,FBA78346,1,Maono AU-A03 Condenser Microphone Kit Podcast Mic with Boom Arm Microphone Stand (Black)
VIOMI,2026-08-06T06:54:33+00:00,B0BZPDH6GM,FBA78353,1,"MAONO XLR/USB Podcast Microphone, PC Dynamic Microphone for Recording, Streaming, Gaming & Voice-Over, Metal Mic with Software, Tap-to-Mute, Headphone Jack, Gain Knob &"
VIOMI,2026-08-05T17:21:27+00:00,B0BZPFB3Z2,FBA77165,1,"MAONO PD400X Dynamic USB/XLR Podcast PC Microphone with Software | 3 EQ Modes, Tap-to-Mute, Headphone Jack, Gain Knob & Volume Control | Studio Mic for Broadcast, Recording, Streaming & Gaming"
VIOMI,2026-08-05T14:24:33+00:00,B08CF614NK,FBA76745,1,"MAONO AU-PM422 Podcast Microphone with Zero Latency Monitoring, 192KHZ/24BIT Professional Cardioid Condenser Mic with Touch Mute Button and Mic Gain Knob for Recording, Podcasting, Gaming, YouTube"
VIOMI,2026-08-05T10:42:32+00:00,B00FFIGZF6,FBA80172,1,Behringer U-PHORIA UMC22 Audiophile 2x2 USB Audio Interface with MIDAS Mic Preamplifier
VIOMI,2026-07-31T06:32:46+00:00,B09GTMFRGB,FBA75979,1,"MAONO AU-HD300T USB/XLR Dynamic Mic for Singing, PC, YouTube Recording Professional Microphone with 0-Latency Monitoring, Volume Control, Adjustable Mic Stand, Shock Mount and Pop Filter (Black)"
VIOMI,2026-07-30T04:36:56+00:00,B0BZPDH6GM,FBA78353,1,"MAONO XLR/USB Podcast Microphone, PC Dynamic Microphone for Recording, Streaming, Gaming & Voice-Over, Metal Mic with Software, Tap-to-Mute, Headphone Jack, Gain Knob &"
