"return-date","order-id","sku","asin","fnsku","product-name","quantity","fulfillment-center-id","detailed-disposition","reason","license-plate-number","customer-comments"
"2026-05-22T07:22:18+00:00","403-1393124-6085969","FBA79615","B0DP2Z5DQ9","X0028XC7C9","White Mulberry 10-Step Height Adjustable Single Screen Monitor Stand for 17-32 Inch Monitor, 8 kg Load, VESA 75x75/100x100, DIY Installation (Black)","1","DEL2","CUSTOMER_DAMAGED","DEFECTIVE","LPNDEL2R83379448",
"2026-05-22T04:18:28+00:00","404-9949916-4243538","FBK79271","B0DQ8W1RBV","X0028X1WKH","Nexlev Ionic Volumizer|3 In 1 Hot Air Brush To Straight Dry & Volumize|1200 Watts|Reduce Frizz|Ceramic Tourmaline Coated Large Barrel|Salon Like Soft Curl At Home|3 Speed & 2 Heat Settings|V-01 RG","1","BLR5","CUSTOMER_DAMAGED","DEFECTIVE","LPNBLR5P5459695",
"2026-05-21T16:47:23+00:00","171-6737036-8756328","FBA79567","B0DNJS23HS","X0028X4EUR","Nexlev Steam Mop Floor Cleaner | SC-04 Steam Cleaner For Home With 2 Modes, 350ML Tank, Detachable Foldable Design For Car, Sofa, Bathroom, Kitchen & Multi-Surface Cleaning","1","BLR5","CARRIER_DAMAGED","UNDELIVERABLE_REFUSED","LPNBLR5P6750191",
"2026-05-21T10:15:43+00:00","405-4634273-2937143","FBK79788","B0FN4D3C89","X002DVGH59","White Mulberry Economy Fixed TV Wall Mount Bracket for 13-43 Inches |45kg|LED/LCD/Smart TV's, Universal VESA Compatible 75x75,200x200 mm MAX Slim Wall Mount Stand","1","CCX1","SELLABLE","UNDELIVERABLE_REFUSED","LPNCCX1B5279524",
"2026-05-21T07:51:19+00:00","171-3303169-2245930","FBK79789","B0FN4DSQ6P","X002DV4SQJ","White Mulberry Premium Economy Fixed TV Wall Mount Bracket for 32-65 Inches |45kg| LED/LCD/OLED/Smart & Curved TV's, VESA 50x50, 400x400 MAX, Slim Wall Stand","1","HYD8","SELLABLE","UNDELIVERABLE_REFUSED","LPNHYD8DZ88612",
"2026-05-21T06:52:02+00:00","408-9610470-9365928","FBA79277","B0D672NXC8","X0028X1YFZ","Nexlev SWIPE Steam Cleaner | 3.5 Bar Strong Steam|Multipurpose Steam Cleaner for Car, Kitchen, Bathroom, Floor, Window,Glass,Upholstery| 18 Accessories Kit|Safety Lock| Large 1200ML Water Tank | SC-03","1","DEL2","CUSTOMER_DAMAGED","QUALITY_UNACCEPTABLE","LPNDEL2R83703723",
"2026-05-21T05:07:06+00:00","406-4236464-2665163","FBK79789","B0FN4DSQ6P","X002DV4SQJ","White Mulberry Premium Economy Fixed TV Wall Mount Bracket for 32-65 Inches |45kg| LED/LCD/OLED/Smart & Curved TV's, VESA 50x50, 400x400 MAX, Slim Wall Stand","1","BLR5","CARRIER_DAMAGED","DEFECTIVE","LPNBLR5P7014571",
"2026-05-20T11:12:32+00:00","403-9274627-6001159","FBP79350","B0D67727VG","X002A16MCZ","NexLev LED Therapy Oil Applicator | Reduce Dandruff | Improve Hair Growth | EMS for Scalp Improvement | Red & Blue Light | High Frequency Massage for Better Absorption | 10 ML | Waterproof | EA-01","1","BLR5","SELLABLE","UNDELIVERABLE_REFUSED","LPNBLR5P5657930",
"2026-05-20T10:58:14+00:00","404-8602855-8157157","FBA79263","B0CYSLCRQS","X0027NUKUL","NexLev Mattress, Sofa & Carpet Vacuum Cleaner | For Dust Mites, Allergens & Pet Hair | 4 Step Cleansing with Double Beat, UV Light, Dehumidification & Vacuum | HEPA captures 99.99% Dust|MR-01","1","BLR5","CUSTOMER_DAMAGED","DEFECTIVE","LPNBLR5P5831302",
"2026-05-20T10:34:15+00:00","407-0316382-6029960","FBA79439","B0DCK7ZH5P","X0028X7N8H","NexLev Mattress, Sofa, Carpet & Car Seat Vacuum Cleaner|For Dust Mites Allergens & Pet Hair|Cordless Design|1500*3 mAh |UV Sterilization, Double Beat Technology|Type C| HEPA captures 99.99% Dust|MR-02","1","BLR5","CUSTOMER_DAMAGED","SWITCHEROO","LPNBLR5P5459242",
"2026-05-20T07:48:52+00:00","171-0226379-3218724","FBK79789","B0FN4DSQ6P","X002DV4SQJ","White Mulberry Premium Economy Fixed TV Wall Mount Bracket for 32-65 Inches |45kg| LED/LCD/OLED/Smart & Curved TV's, VESA 50x50, 400x400 MAX, Slim Wall Stand","1","BLR5","CARRIER_DAMAGED","UNDELIVERABLE_REFUSED","LPNBLR5P6263671",
"2026-05-20T06:41:42+00:00","405-1024497-0745157","FBA62963","B072F5J32C","X001SVNVNV","Lewitt LCT-240 Pro Cardioid Condenser Microphone for Professional Recording (Black)","1","LKO1","SELLABLE","UNDELIVERABLE_UNKNOWN","LPNLKO1B1587398",
"2026-05-20T04:21:22+00:00","404-8416825-9074708","FBK79789","B0FN4DSQ6P","X002DV4SQJ","White Mulberry Premium Economy Fixed TV Wall Mount Bracket for 32-65 Inches |45kg| LED/LCD/OLED/Smart & Curved TV's, VESA 50x50, 400x400 MAX, Slim Wall Stand","1","DEL2","SELLABLE","UNDELIVERABLE_REFUSED","LPNDEL2R83529418",
"2026-05-19T09:16:34+00:00","404-4164487-4945932","FBA79590","B0DM6BB3VT","X0028X4EW5","NexLev Calf Massager | Daily Use Leg Massager for Sore Muscle |1 Piece | Hand Like Massage with Air Compression | Improve Blood Circulation & Relieve Pain | 2500 mAh | Large Belt | Type C |CFM-01","1","DEL2","SELLABLE","DEFECTIVE","LPNDEL2R83068166",
"2026-05-19T08:43:07+00:00","171-5980368-2066754","FBA79263","B0CYSLCRQS","X0027NUKUL","NexLev Mattress, Sofa & Carpet Vacuum Cleaner | For Dust Mites, Allergens & Pet Hair | 4 Step Cleansing with Double Beat, UV Light, Dehumidification & Vacuum | HEPA captures 99.99% Dust|MR-01","1","BOM7","SELLABLE","DEFECTIVE","LPNBOM7D20079267",
"2026-05-19T07:54:25+00:00","405-9821440-2061950","FBK79791","B0FN4HDM6Z","X002DVFBBP","White Mulberry Premium Full Motion TV Wall Mount Bracket for 23-65Inch |35kg| LED/LCD/OLED/Smart & Curved TV's, Universal Heavy Duty Wall Mount Stand with Swivel, Tilt","1","BLR5","SELLABLE","UNDELIVERABLE_REFUSED","LPNBLR5P5469754",
"2026-05-19T05:09:48+00:00","408-8365740-4499560","FBA79277","B0D672NXC8","X0028X1YFZ","Nexlev SWIPE Steam Cleaner | 3.5 Bar Strong Steam|Multipurpose Steam Cleaner for Car, Kitchen, Bathroom, Floor, Window,Glass,Upholstery| 18 Accessories Kit|Safety Lock| Large 1200ML Water Tank | SC-03","1","DEL2","SELLABLE","NO_REASON_GIVEN","LPNDEL2R83152465",
"2026-05-19T04:53:21+00:00","405-0090965-9582762","FBK79788","B0FN4D3C89","X002DVGH59","White Mulberry Economy Fixed TV Wall Mount Bracket for 13-43 Inches |45kg|LED/LCD/Smart TV's, Universal VESA Compatible 75x75,200x200 mm MAX Slim Wall Mount Stand","1","DEL2","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","LPNDEL2R81112184",
"2026-05-18T12:53:56+00:00","402-5443488-3889932","FBK79789","B0FN4DSQ6P","X002DV4SQJ","White Mulberry Premium Economy Fixed TV Wall Mount Bracket for 32-65 Inches |45kg| LED/LCD/OLED/Smart & Curved TV's, VESA 50x50, 400x400 MAX, Slim Wall Stand","1","BLR5","CUSTOMER_DAMAGED","DEFECTIVE","LPNBLR5P3304999",
"2026-05-18T09:20:18+00:00","171-5186123-2159557","FBA79590","B0DM6BB3VT","X0028X4EW5","NexLev Calf Massager | Daily Use Leg Massager for Sore Muscle |1 Piece | Hand Like Massage with Air Compression | Improve Blood Circulation & Relieve Pain | 2500 mAh | Large Belt | Type C |CFM-01","1","DEL2","SELLABLE","DEFECTIVE","LPNDEL2R83645135",
"2026-05-18T08:16:39+00:00","406-8432117-7355554","FBK79788","B0FN4D3C89","X002DVGH59","White Mulberry Economy Fixed TV Wall Mount Bracket for 13-43 Inches |45kg|LED/LCD/Smart TV's, Universal VESA Compatible 75x75,200x200 mm MAX Slim Wall Mount Stand","1","BLR5","CUSTOMER_DAMAGED","QUALITY_UNACCEPTABLE","LPNBLR5P5632897",
