asin,sku,quantity,item_price_per_unit,shipping_price,gift_wrap_price,shipment_date,fulfillment_center,amazon_order_id,currency,seller_account,gross_sales
B0DSBSD26P,FBA79753,1,12283.05,0.0,0.0,2026-06-27T22:54:44+00:00,CCX1,171-3513797-6770702,INR,CAMBIUMRETAIL,12283.05
B00AMWDOEK,FBS74721,1,7708.48,33.9,0.0,2026-06-27T22:26:43+00:00,LKO1,408-9120915-1145129,INR,CAMBIUMRETAIL,7708.48
B00AG37H8Y,FBO66963,1,12283.06,0.0,25.42,2026-06-27T20:26:45+00:00,CJB1,171-7838792-7731511,INR,CAMBIUMRETAIL,12283.06
B0D9362N4Q,FBA79529,1,11436.44,0.0,0.0,2026-06-27T19:51:46+00:00,CJB1,405-7051392-6916363,INR,CAMBIUMRETAIL,11436.44
B00HVBJ6W4,FBS67801,1,8005.94,83.9,25.42,2026-06-27T19:38:49+00:00,BLR7,403-2272416-8413120,INR,CAMBIUMRETAIL,8005.94
B0DSBQDZNV,FBA79746,1,13554.24,0.0,0.0,2026-06-27T19:31:43+00:00,HYD8,403-6740628-3667502,INR,CAMBIUMRETAIL,13554.24
B0DSBSGK17,FBA79748,1,13554.24,0.0,0.0,2026-06-27T19:23:47+00:00,DEL5,403-5671435-3453955,INR,CAMBIUMRETAIL,13554.24
B00AG37H8Y,FBO66963,1,12283.05,33.9,0.0,2026-06-27T19:10:46+00:00,DEL4,408-0950373-4366701,INR,CAMBIUMRETAIL,12283.05
B00AG37H8Y,FBO66963,1,12283.05,0.0,0.0,2026-06-27T19:05:45+00:00,DEL5,404-8680484-6396341,INR,CAMBIUMRETAIL,12283.05
B0GDXBGXH2,FBA80034,1,11436.44,0.0,0.0,2026-06-27T18:59:16+00:00,BLR8,407-4895534-4508348,INR,CAMBIUMRETAIL,11436.44
B0DJ2XHK2N,FBA79633,1,10164.41,66.95,0.0,2026-06-27T18:51:45+00:00,DEL4,403-6887997-6275545,INR,CAMBIUMRETAIL,10164.41
B0D93652ZY,FBA79528,1,11435.59,16.1,0.0,2026-06-27T18:49:42+00:00,BOM5,402-4380170-9742723,INR,CAMBIUMRETAIL,11435.59
B00AFTTQ8I,FBS66640,1,7708.48,0.0,25.42,2026-06-27T18:46:46+00:00,BLR8,408-7394666-2173928,INR,CAMBIUMRETAIL,7708.48
B0DT381WY9,FBA79727,1,9403.39,33.9,25.42,2026-06-27T18:42:46+00:00,BLR8,407-4208582-7897917,INR,CAMBIUMRETAIL,9403.39
B0FCVPBY7Y,FBA79882,1,12283.06,16.1,0.0,2026-06-27T18:35:17+00:00,DEL5,171-1942121-6308352,INR,CAMBIUMRETAIL,12283.06
B00HVBJ6W4,FBS67801,1,8005.94,66.94,0.0,2026-06-27T18:32:44+00:00,LKO1,171-0232858-6350732,INR,CAMBIUMRETAIL,8005.94
B0FCVPBY7Y,FBA79882,1,12283.06,0.0,0.0,2026-06-27T18:27:44+00:00,BLR8,407-7830609-5661165,INR,CAMBIUMRETAIL,12283.06
B0D93652ZY,FBA79528,1,11435.6,0.0,0.0,2026-06-27T18:24:45+00:00,BOM5,404-8583308-4056365,INR,CAMBIUMRETAIL,11435.6
B008AXYWHQ,FBS66974,1,9488.98,0.0,0.0,2026-06-27T17:43:45+00:00,HYD8,406-1257575-4225164,INR,CAMBIUMRETAIL,9488.98
B008AXYWHQ,FBS66974,1,9488.98,0.0,0.0,2026-06-27T16:42:44+00:00,BLR8,402-5108136-0893939,INR,CAMBIUMRETAIL,9488.98
B0DJ2XHK2N,FBA79633,1,10164.4,0.0,0.0,2026-06-27T16:36:49+00:00,BLR8,405-2708846-9084313,INR,CAMBIUMRETAIL,10164.4
B00NVAWTLY,FBO70527,1,8599.16,16.1,0.0,2026-06-27T16:16:46+00:00,BLR7,402-5299262-1065918,INR,CAMBIUMRETAIL,8599.16
B01MTYS3BW,FBS69579,1,29656.78,33.9,0.0,2026-06-27T15:09:47+00:00,HYD8,402-0915715-3917930,INR,CAMBIUMRETAIL,29656.78
B0FCVPBY7Y,FBA79882,1,12283.05,33.9,0.0,2026-06-27T14:50:41+00:00,DEL5,171-5455405-7852345,INR,CAMBIUMRETAIL,12283.05
B0DKJHSD8R,FBS79627,1,13553.38,0.0,0.0,2026-06-27T14:39:45+00:00,BLR7,402-7011590-7856353,INR,CAMBIUMRETAIL,13553.38
B00HVBJ6W4,FBS67801,1,8005.93,0.0,0.0,2026-06-27T14:25:44+00:00,DED4,405-0209240-7239542,INR,CAMBIUMRETAIL,8005.93
B00AG37H8Y,FBO66963,1,12283.06,0.0,0.0,2026-06-27T14:12:53+00:00,BLR7,404-2761364-2633932,INR,CAMBIUMRETAIL,12283.06
B00H2ZDX00,FBA80093,1,8599.16,16.1,0.0,2026-06-27T13:31:41+00:00,BOM7,402-3984074-5038756,INR,CAMBIUMRETAIL,8599.16
B0GF7GZ4K7,FBA80045,1,8005.93,33.9,0.0,2026-06-27T13:17:44+00:00,MAA4,405-7779278-3966743,INR,CAMBIUMRETAIL,8005.93
B00HVBJ6W4,FBS67801,1,8005.94,0.0,0.0,2026-06-27T12:28:44+00:00,BLR8,405-8288982-8373133,INR,CAMBIUMRETAIL,8005.94
B08XBYKWW3,FBS75346,1,13640.68,33.9,0.0,2026-06-27T12:15:46+00:00,CCX1,406-3239317-8480305,INR,CAMBIUMRETAIL,13640.68
B07T3ZLNM3,FBS79412,1,18216.1,33.9,0.0,2026-06-27T11:33:51+00:00,HYD8,406-1630592-4841933,INR,CAMBIUMRETAIL,18216.1
B00H2ZDX00,FBA80093,1,8599.16,0.0,0.0,2026-06-27T10:45:48+00:00,BLR7,406-6909856-9794732,INR,CAMBIUMRETAIL,8599.16
B0FRVBBDM9,FBA79925,1,8005.94,0.0,0.0,2026-06-27T09:45:46+00:00,BLR8,402-4115670-5889102,INR,CAMBIUMRETAIL,8005.94
B008AXYWHQ,FBS66974,1,9488.98,0.0,0.0,2026-06-27T09:42:46+00:00,HYD8,403-4205807-1581161,INR,CAMBIUMRETAIL,9488.98
B0058XWUHA,FBS67266,1,19487.28,33.9,0.0,2026-06-27T08:42:44+00:00,DEL5,406-3316680-0489159,INR,CAMBIUMRETAIL,19487.28
B0FTMM455Z,FBA79933,1,11436.44,83.9,0.0,2026-06-27T08:35:46+00:00,DEL4,405-0044435-1400379,INR,CAMBIUMRETAIL,11436.44
B00WM0CF4A,FBO66964,1,5928.82,0.0,0.0,2026-06-27T08:25:51+00:00,BLR8,403-2293931-1547526,INR,CAMBIUMRETAIL,5928.82
B00AG37H8Y,FBO66963,1,12283.06,33.9,0.0,2026-06-27T08:16:41+00:00,BOM7,404-0133249-4842715,INR,CAMBIUMRETAIL,12283.06
B0DJ2XHK2N,FBA79633,1,10164.41,33.9,0.0,2026-06-27T08:03:43+00:00,DEL4,406-3239317-8480305,INR,CAMBIUMRETAIL,10164.41
B00AG37H8Y,FBO66963,1,12283.05,0.0,0.0,2026-06-27T07:04:47+00:00,DEL5,405-3449620-1473936,INR,CAMBIUMRETAIL,12283.05
B00AG37H8Y,FBO66963,1,12283.05,0.0,0.0,2026-06-27T06:55:48+00:00,DEL5,407-7779839-0908319,INR,CAMBIUMRETAIL,12283.05
B00WM0CF4A,FBO66964,1,5928.81,0.0,0.0,2026-06-27T06:25:43+00:00,DEL4,407-5163378-1160329,INR,CAMBIUMRETAIL,5928.81
