asin,sku,quantity,item_price_per_unit,shipping_price,gift_wrap_price,shipment_date,fulfillment_center,amazon_order_id,currency,seller_account,gross_sales
B0DV94R4QD,FBA79686,1,856.19,38.1,0.0,2026-06-27T22:59:09+00:00,DEL4,408-0558418-9083552,INR,NEXLEV,856.19
B0DCK7ZH5P,FBA79439,1,2880.5,33.9,0.0,2026-06-27T21:43:44+00:00,BOM7,404-2741028-1507526,INR,NEXLEV,2880.5
B0D2LHNS9B,FBA79265,1,846.62,33.9,0.0,2026-06-27T21:17:43+00:00,BLR8,405-5907846-3485952,INR,NEXLEV,846.62
B0CYSLCRQS,FBA79263,1,2541.52,0.0,0.0,2026-06-27T21:05:42+00:00,HYD8,403-1601539-6421137,INR,NEXLEV,2541.52
B0DQCWRG3H,FBA79493,1,1736.44,33.9,0.0,2026-06-27T20:47:42+00:00,MAA4,403-1851237-9481920,INR,NEXLEV,1736.44
B0F43P6D23,FBA79652,1,3050.0,33.9,0.0,2026-06-27T20:13:43+00:00,PNQ3,402-7207694-6407560,INR,NEXLEV,3050.0
B0CDPP45BM,FBA78981,1,3812.72,0.0,0.0,2026-06-27T19:59:51+00:00,HYD8,404-6948618-7875531,INR,NEXLEV,3812.72
B0DNJS23HS,FBA79567,1,5083.9,0.0,0.0,2026-06-27T19:46:46+00:00,HYD3,404-6212564-9719566,INR,NEXLEV,5083.9
B0CYSLCRQS,FBA79263,1,2541.53,33.9,0.0,2026-06-27T19:40:48+00:00,BLR8,407-4988723-9528336,INR,NEXLEV,2541.53
B0DK9LYT4P,FBA79467,1,0.0,0.0,0.0,2026-06-27T19:18:34+00:00,LKO1,NLshop-10987/26-27,INR,NEXLEV,0.0
B0GKNGWLJ2,FBK80015,1,3304.24,0.0,0.0,2026-06-27T19:08:46+00:00,BLR7,403-0927196-5365127,INR,NEXLEV,3304.24
B0F43P6D23,FBA79652,1,3050.0,0.0,0.0,2026-06-27T18:44:46+00:00,BOM5,408-4167132-0097914,INR,NEXLEV,3050.0
B0GM1CZC7Y,FBA79984,1,4660.17,0.0,0.0,2026-06-27T18:41:44+00:00,HYD3,403-1899855-1406763,INR,NEXLEV,4660.17
B0F43P6D23,FBA79652,1,3050.0,16.1,0.0,2026-06-27T18:28:46+00:00,BLR7,406-0639438-8632319,INR,NEXLEV,3050.0
B0F43P6D23,FBA79652,1,3050.0,16.1,0.0,2026-06-27T18:27:46+00:00,BLR7,407-2517262-3159554,INR,NEXLEV,3050.0
B0DVC7VJP1,FBA79679,1,5295.76,66.94,0.0,2026-06-27T18:13:44+00:00,BOM5,408-2723005-0338718,INR,NEXLEV,5295.76
B0DVC7VJP1,FBA79679,1,5295.76,66.94,0.0,2026-06-27T18:12:44+00:00,BOM5,407-6756511-1973926,INR,NEXLEV,5295.76
B0CDPP45BM,FBA78981,1,3812.72,16.1,0.0,2026-06-27T18:09:44+00:00,BLR8,406-0120267-5627522,INR,NEXLEV,3812.72
B0GGHZWMVW,FBA79971,1,10168.64,0.0,0.0,2026-06-27T17:54:44+00:00,HYD3,403-0463043-2041921,INR,NEXLEV,10168.64
B0DCK7ZH5P,FBA79439,1,2880.51,33.9,0.0,2026-06-27T17:12:45+00:00,CCX2,406-4794884-6953937,INR,NEXLEV,2880.51
B0D81DLSFT,FBA79348,1,0.0,0.0,0.0,2026-06-27T16:25:33+00:00,BOM5,NLshop-10988/26-27,INR,NEXLEV,0.0
B0DNJS23HS,FBA79567,1,5083.9,0.0,0.0,2026-06-27T16:14:49+00:00,BLR8,407-7032010-0436323,INR,NEXLEV,5083.9
B0F43P6D23,FBA79652,1,3050.0,0.0,0.0,2026-06-27T15:42:46+00:00,BOM5,403-0068376-5437179,INR,NEXLEV,3050.0
B0CYSLCRQS,FBA79263,1,2541.53,0.0,0.0,2026-06-27T15:24:29+00:00,BLR8,404-7947685-8139562,INR,NEXLEV,2541.53
B0DQCWRG3H,FBA79493,1,1736.44,33.9,0.0,2026-06-27T15:11:45+00:00,DEL5,407-4090112-5292323,INR,NEXLEV,1736.44
B0FPGDVVCX,FBA79849,1,4829.66,16.1,0.0,2026-06-27T15:10:43+00:00,BOM7,408-1131707-7425165,INR,NEXLEV,4829.66
