asin,sku,quantity,item_price_per_unit,shipping_price,gift_wrap_price,shipment_date,fulfillment_center,amazon_order_id,currency,seller_account,gross_sales
B0DP2WC5VW,FBA79612,1,2965.26,0.0,0.0,2026-06-27T22:11:44+00:00,DEL5,171-9119863-7065134,INR,VIOMI,2965.26
B0FN4FPJ83,FBK79786,1,1694.06,33.9,0.0,2026-06-27T21:32:46+00:00,BLR7,406-7505775-0319533,INR,VIOMI,1694.06
B0CDPMX152,FBA78980,1,2033.05,33.9,0.0,2026-06-27T20:04:46+00:00,DEL4,406-1979171-0674706,INR,VIOMI,2033.05
B0FN4GQ9HT,FBK79787,1,617.8,0.0,0.0,2026-06-27T19:12:42+00:00,BOM7,402-8772846-8174712,INR,VIOMI,617.8
B0FN4DSQ6P,FBK79789,1,490.68,0.0,0.0,2026-06-27T18:22:50+00:00,MAA4,407-5827826-3369152,INR,VIOMI,490.68
B0DCGHVN81,FBA79452,1,1863.56,0.0,0.0,2026-06-27T18:07:41+00:00,HYD3,404-5832474-1449953,INR,VIOMI,1863.56
B0CCV74CL7,FBA79114,1,2456.78,0.0,0.0,2026-06-27T18:01:46+00:00,DEL4,407-4714684-1301143,INR,VIOMI,2456.78
B0FN4DSQ6P,FBK79789,1,490.68,2.69,0.0,2026-06-27T17:52:49+00:00,BOM5,408-2003746-6421165,INR,VIOMI,490.68
B0FN4DSQ6P,FBK79789,1,490.68,0.0,0.0,2026-06-27T17:49:41+00:00,BOM5,402-9721715-2643505,INR,VIOMI,490.68
B0FN4DSQ6P,FBK79789,1,490.68,0.0,0.0,2026-06-27T17:46:45+00:00,HYD3,404-5369909-4696331,INR,VIOMI,490.68
B0CYSLCRQS,FBA79263,1,2549.16,0.0,0.0,2026-06-27T17:37:46+00:00,HYD8,407-0823836-3863501,INR,VIOMI,2549.16
B0D67727VG,FBP79350,1,1046.66,18.1,0.0,2026-06-27T17:36:40+00:00,BOM5,404-7939461-5534765,INR,VIOMI,1046.66
B0CFKHCQ8W,FBA79585,1,1778.81,33.9,0.0,2026-06-27T17:02:57+00:00,DEL5,171-9489585-6955545,INR,VIOMI,1778.81
B0CYSLCRQS,FBA79263,1,2549.15,33.9,0.0,2026-06-27T16:27:46+00:00,DED4,403-6183937-6978730,INR,VIOMI,2549.15
B0DCK3N2JJ,FBA79406,1,2333.06,0.0,0.0,2026-06-27T16:19:01+00:00,BOM5,404-1847871-9037928,INR,VIOMI,2333.06
B0FN4D3C89,FBK79788,1,363.56,0.0,0.0,2026-06-27T15:48:43+00:00,CCX1,405-4080395-4757939,INR,VIOMI,363.56
B0DCGHVN81,FBA79452,1,1863.56,0.0,0.0,2026-06-27T14:47:44+00:00,HYD3,404-6371323-6801948,INR,VIOMI,1863.56
B0DCGHVN81,FBA79452,1,1863.56,0.0,0.0,2026-06-27T14:46:46+00:00,HYD3,171-8384148-1315524,INR,VIOMI,1863.56
B0DCGHVN81,FBA79452,1,1863.56,0.0,0.0,2026-06-27T14:45:49+00:00,HYD3,408-3121496-6296334,INR,VIOMI,1863.56
B0DKK15YNJ,FBA79573,1,2380.0,9.04,0.0,2026-06-27T14:37:46+00:00,BOM5,408-1136114-9513134,INR,VIOMI,2380.0
B0FN4DSQ6P,FBK79789,1,490.68,0.0,0.0,2026-06-27T14:32:46+00:00,DEL5,171-0826973-7088357,INR,VIOMI,490.68
B0FN4DSQ6P,FBK79789,1,490.68,33.9,0.0,2026-06-27T13:48:44+00:00,CJB1,408-8338241-2462707,INR,VIOMI,490.68
B082W4B7SX,FBA77106,1,2075.42,0.0,0.0,2026-06-27T13:27:42+00:00,DED4,404-3762173-5888351,INR,VIOMI,2075.42
B0CDPMX152,FBA78980,1,2033.05,0.0,0.0,2026-06-27T12:34:46+00:00,HYD8,404-4010834-8343528,INR,VIOMI,2033.05
B0DP2VVRND,FBA79613,1,1736.44,0.0,0.0,2026-06-27T12:26:44+00:00,BLR7,408-7640207-8560302,INR,VIOMI,1736.44
B0CYSLCRQS,FBA79263,1,2549.16,5.37,0.0,2026-06-27T12:04:52+00:00,DED4,403-1058990-7637138,INR,VIOMI,2549.16
B0CDPMX152,FBA78980,1,2033.05,33.9,0.0,2026-06-27T11:26:42+00:00,LKO1,408-1693324-1164351,INR,VIOMI,2033.05
B0CH9JR3HL,FBA79586,1,2117.8,0.0,0.0,2026-06-27T10:55:45+00:00,DEL5,402-0566117-8260346,INR,VIOMI,2117.8
B0F43P6D23,FBA79652,1,3473.72,0.0,0.0,2026-06-27T09:52:42+00:00,LKO1,171-3106008-2030742,INR,VIOMI,3473.72
B0FN4DSQ6P,FBK79789,1,490.68,0.0,0.0,2026-06-27T08:34:46+00:00,DEL4,408-5608551-6036325,INR,VIOMI,490.68
B0CYSLCRQS,FBA79263,1,2549.15,0.0,0.0,2026-06-27T08:33:42+00:00,DED4,403-6281446-2733148,INR,VIOMI,2549.15
B0DKK15YNJ,FBA79573,1,2380.0,0.0,0.0,2026-06-27T07:59:06+00:00,BOM5,404-8725714-7704303,INR,VIOMI,2380.0
B0D67727VG,FBP79350,1,1046.66,0.0,0.0,2026-06-27T07:29:43+00:00,BLR8,404-1508758-3608361,INR,VIOMI,1046.66
B0CYSLCRQS,FBA79263,1,2549.16,0.0,0.0,2026-06-27T07:15:49+00:00,BLR7,407-9608425-6110753,INR,VIOMI,2549.16
B0DB5VVPSB,FBA79477,1,3861.86,0.0,0.0,2026-06-27T05:20:39+00:00,MAA4,407-0278261-4487576,INR,VIOMI,3861.86
B0FS6TB7CP,FBA79812,1,2117.8,0.0,0.0,2026-06-27T05:13:44+00:00,AMD2,403-5711219-2090731,INR,VIOMI,2117.8
B0DP2VVRND,FBA79613,1,1736.44,0.0,0.0,2026-06-27T05:06:46+00:00,CJB1,407-4601214-8546747,INR,VIOMI,1736.44
B0DCGHVN81,FBA79452,1,1863.56,33.9,0.0,2026-06-27T04:50:46+00:00,DEL4,403-7713872-3825903,INR,VIOMI,1863.56
B0D67727VG,FBP79350,1,1046.67,0.0,0.0,2026-06-27T04:49:46+00:00,BOM5,407-3961468-6826756,INR,VIOMI,1046.67
B0CYSLCRQS,FBA79263,1,2549.15,0.0,0.0,2026-06-27T04:28:45+00:00,DED4,407-9940501-6669160,INR,VIOMI,2549.15
B0FN4DSQ6P,FBK79789,1,490.68,0.0,0.0,2026-06-27T03:58:49+00:00,BLR8,406-6429985-4104362,INR,VIOMI,490.68
B0DP2VVRND,FBA79613,1,1736.44,33.9,0.0,2026-06-27T03:57:45+00:00,BLR7,403-2859440-8897960,INR,VIOMI,1736.44
B0DCK3N2JJ,FBA79406,1,2333.06,83.9,0.0,2026-06-26T23:15:47+00:00,BLR8,405-3767241-9853164,INR,VIOMI,2333.06
B0FN4DSQ6P,FBK79789,1,490.68,0.0,0.0,2026-06-26T22:48:45+00:00,CJB1,407-0541425-1984343,INR,VIOMI,490.68
B0BYHHSLPC,FBA79116,1,1711.02,33.9,0.0,2026-06-26T22:01:43+00:00,DED4,403-1177811-6408323,INR,VIOMI,1711.02
B0DP2VVRND,FBA79613,1,1736.44,33.9,0.0,2026-06-26T21:37:42+00:00,DEL5,405-6375235-7584337,INR,VIOMI,1736.44
B0FN4D3C89,FBK79788,1,363.56,33.9,0.0,2026-06-26T20:52:43+00:00,CCX1,171-5420032-4057909,INR,VIOMI,363.56
B0CFKHCQ8W,FBA79585,1,1778.81,0.0,0.0,2026-06-26T19:29:45+00:00,DEL5,405-6176382-1453916,INR,VIOMI,1778.81
B0DP2Z5DQ9,FBA79615,1,0.0,0.0,0.0,2026-06-26T19:29:44+00:00,BLR7,404-1386352-3664338,INR,VIOMI,0.0
B0FN4DSQ6P,FBK79789,1,490.68,0.0,0.0,2026-06-26T19:26:44+00:00,HYD8,404-0156968-5504369,INR,VIOMI,490.68
B0BYHHSLPC,FBA79116,1,1711.02,0.0,0.0,2026-06-26T18:48:43+00:00,MAA4,404-5387543-3873964,INR,VIOMI,1711.02
B0DCGHVN81,FBA79452,1,1863.56,50.0,0.0,2026-06-26T18:04:44+00:00,BOM5,407-3353289-8099552,INR,VIOMI,1863.56
B0DP2VVRND,FBA79613,1,1736.44,16.1,0.0,2026-06-26T17:59:46+00:00,HYD8,403-7168538-6287566,INR,VIOMI,1736.44
B0DCK3N2JJ,FBA79406,1,0.0,0.0,0.0,2026-06-26T17:48:46+00:00,BLR8,408-3829016-9114762,INR,VIOMI,0.0
B0DP2VVRND,FBA79613,1,1736.44,33.9,0.0,2026-06-26T15:58:44+00:00,PNQ3,402-4346827-2510736,INR,VIOMI,1736.44
B0DP2VVRND,FBA79613,1,1736.44,0.0,0.0,2026-06-26T15:31:47+00:00,DEL5,404-9010481-2208340,INR,VIOMI,1736.44
B07GVGMW59,FBA79260,1,2287.28,0.0,0.0,2026-06-26T15:02:48+00:00,BLR8,406-8353547-0594702,INR,VIOMI,2287.28
B07GVGMW59,FBA79260,1,2287.28,0.0,0.0,2026-06-26T14:57:46+00:00,BLR8,404-3296148-7256349,INR,VIOMI,2287.28
B0FN4DSQ6P,FBK79789,1,490.68,0.0,0.0,2026-06-26T14:41:42+00:00,DED4,405-7708612-1316318,INR,VIOMI,490.68
B0FS6TB7CP,FBA79812,1,2117.8,33.9,0.0,2026-06-26T14:32:44+00:00,BLR8,406-7205774-3850732,INR,VIOMI,2117.8
B0CYSLCRQS,FBA79263,1,2549.15,50.0,0.0,2026-06-26T13:38:48+00:00,BLR7,405-7989336-2277957,INR,VIOMI,2549.15
B0FN4DSQ6P,FBK79789,1,490.68,0.0,0.0,2026-06-26T12:57:43+00:00,DED4,403-6773040-2405958,INR,VIOMI,490.68
