ASIN,Qty,Sale,ShippedUnits,ShippedRevenue,CustomerReturns
B07Y1C6GDS,51,169163.98,50,0.0,9
B07JHDKXK4,52,157922.0,52,0.0,8
B09Q2ZZGH2,42,125434.63,40,0.0,4
B07JGQ9L5B,135,83011.78,139,0.0,24
B0BMFQP2ZZ,18,79394.07,9,0.0,2
B09JG62KDJ,32,78161.7,27,0.0,5
B06XCKGLTP,33,71821.58,21,0.0,10
B09XKD3H6C,17,50867.67,17,0.0,1
B084P1CXFD,4,43216.94,4,0.0,0
B08CF614NK,8,35796.61,7,0.0,1
B00EGHMOZC,2,30338.98,3,0.0,1
B07JJ62B1B,11,30321.51,9,0.0,1
B01N6448Q4,6,29201.71,5,0.0,1
B07BCN55VP,1,28963.56,1,0.0,0
B07QKWFTK1,2,28523.72,2,0.0,1
B08FW1Q676,7,27387.84,6,0.0,1
B09GTMFRGB,6,26689.84,6,0.0,0
B0064RVAUC,1,22711.86,1,0.0,0
B00SMKOGF0,1,22155.94,1,0.0,0
B0BF9PCGM8,5,22033.9,5,0.0,0
B000RW5PXI,1,21271.19,1,0.0,0
B00BSL5Z1E,1,21185.59,0,0.0,0
B07BCQ7P7Z,1,20644.07,1,0.0,2
B09V12PT9H,7,17737.3,8,0.0,5
B09V14JDTF,7,17665.33,7,0.0,2
B07YX6MM9N,1,17634.75,1,0.0,0
B07JHMWKBF,51,15565.06,49,0.0,5
B00SKJGZLG,1,15169.49,1,0.0,0
B00S2Z9BTQ,1,12633.9,0,0.0,0
B08PJRGZ98,1,12566.95,1,0.0,0
B07RM4B5LJ,1,11045.76,1,0.0,0
B06Y1XD9H7,2,10611.01,2,0.0,0
B009X3PM08,1,10322.03,2,0.0,1
B000UXIEPU,1,8813.56,1,0.0,0
B09KZJTW73,1,8558.47,0,0.0,0
B017LUP20O,1,8110.16,1,0.0,0
B088NFWLZP,5,7931.0,4,0.0,3
B00KQEXK2A,1,7870.34,1,0.0,0
B07G4CCMYL,1,6852.54,1,0.0,0
B09LCL456X,4,6318.64,5,0.0,1
B000EENF4U,10,4747.45,8,0.0,0
B09BQQTLC8,6,4693.2,4,0.0,0
B000EEJBDE,7,3329.66,6,0.0,0
B0002DUS8E,6,3284.76,6,0.0,0
B00HVUSRY8,3,3266.94,3,0.0,0
B003B0A740,2,3020.33,2,0.0,0
B00JDJ89DE,2,2999.15,1,0.0,0
B0002J6I7S,1,2283.9,0,0.0,0
B003B01QR2,4,1830.51,4,0.0,0
B00T8L17N6,4,1830.5,4,0.0,1
B002IJK0H4,3,1662.72,0,0.0,0
B000EEL9G6,3,1372.87,4,0.0,1
B000WIT8BM,2,1311.87,4,0.0,0
B0002OOMW6,2,1237.28,2,0.0,0
B06XF43R53,2,923.72,2,0.0,0
B003AP94WC,1,889.83,1,0.0,0
B00JDJNZ6K,2,828.81,0,0.0,0
B0002E1I4Q,1,643.22,1,0.0,0
B0002DUS16,1,585.17,1,0.0,0
B0002DUS8Y,1,550.85,1,0.0,1
B083F7HJMX,1,542.37,1,0.0,0
B06XF3735J,1,506.78,1,0.0,0
B06XF3VK6Y,1,482.2,1,0.0,0
B003B01QSG,1,457.63,1,0.0,0
B06XDZTH2X,1,383.05,1,0.0,0
B008TNAGQS,0,0.0,0,0.0,1
B004TQJ174,0,0.0,0,0.0,0
B003B0A6ZK,0,0.0,0,0.0,0
B003AMV7SO,0,0.0,1,0.0,0
B0002F4ZTK,0,0.0,0,0.0,1
B00JDJLOKE,0,0.0,0,0.0,0
B015R0IQGW,0,0.0,0,0.0,0
B0116X17JW,0,0.0,0,0.0,0
B07JDHM2TV,0,0.0,0,0.0,0
B07HDB12FM,0,0.0,0,0.0,0
B07BCN6FFH,0,0.0,0,0.0,0
B07BBG8L4G,0,0.0,0,0.0,0
B00MMKQOEM,0,0.0,0,0.0,0
B00S5WRW6U,0,0.0,0,0.0,0
B07RL6VG3H,0,0.0,0,0.0,0
B081S9BCHF,0,0.0,0,0.0,0
B08D7SWGG5,0,0.0,0,0.0,0
B08874YDB4,0,0.0,0,0.0,0
B07XC3BHTL,0,0.0,0,0.0,0
B09241VBTP,0,0.0,0,0.0,0
B09NQBDGT3,0,0.0,1,0.0,0
B08TYWJHR7,0,0.0,0,0.0,0
B0BF9MN8R2,0,0.0,1,0.0,0
B0BFBDT2D2,0,0.0,0,0.0,0
