asin,sku,quantity,item_price_per_unit,shipping_price,gift_wrap_price,shipment_date,fulfillment_center,amazon_order_id,currency,seller_account,gross_sales
B0FJS57732,FBA80141,1,2414.41,0.0,0.0,2026-09-05T23:07:46+00:00,CCX1,406-4607605-0815566,INR,AUDIOARRAY,2414.41
B0FG88HVQ8,FBA79813,1,1694.06,33.9,0.0,2026-09-05T22:50:47+00:00,AMD2,404-3970691-9714732,INR,AUDIOARRAY,1694.06
B0BPLZ5CGV,FBA76864,1,3944.94,0.0,0.0,2026-09-05T20:01:53+00:00,CCX1,403-9179529-5014724,INR,AUDIOARRAY,3944.94
B0B4G59Y8W,FBA75689,1,1694.06,0.0,0.0,2026-09-05T18:08:55+00:00,BOM5,406-3506905-6613156,INR,AUDIOARRAY,1694.06
B0GXPBHDRF,FBA80085,1,5931.36,0.0,0.0,2026-09-05T18:03:45+00:00,BOM5,404-0994352-3289152,INR,AUDIOARRAY,5931.36
B0GD8JSPB1,FBA79974,1,7626.27,66.95,0.0,2026-09-05T17:44:51+00:00,DEL4,407-7435118-3253120,INR,AUDIOARRAY,7626.27
B0GD8JSPB1,FBA79974,1,7626.27,66.95,0.0,2026-09-05T17:44:48+00:00,DEL4,407-7435118-3253120,INR,AUDIOARRAY,7626.27
B0GN8MMKY1,FBA79980,1,2965.25,33.9,0.0,2026-09-05T17:23:47+00:00,BOM5,406-6409078-3457125,INR,AUDIOARRAY,2965.25
B0FFB6YJM1,FBA79708,1,1016.1,0.0,0.0,2026-09-05T17:20:47+00:00,BOM5,403-4074925-8530717,INR,AUDIOARRAY,1016.1
B0BPLWW72Y,FBA76862,1,1422.88,0.0,0.0,2026-09-05T17:12:50+00:00,DEL4,403-7796918-2501938,INR,AUDIOARRAY,1422.88
B0CM6WH4ZT,FBA79105,1,1185.59,33.9,0.0,2026-09-05T16:33:48+00:00,DEL4,408-7772554-2633152,INR,AUDIOARRAY,1185.59
B0CM6WH4ZT,FBA79105,1,1185.6,0.0,0.0,2026-09-05T15:55:46+00:00,BOM7,402-2247944-2730769,INR,AUDIOARRAY,1185.6
B0BLKBJ5HN,FBA76742,1,0.0,0.0,0.0,2026-09-05T15:43:44+00:00,AMD2,402-5109928-9886727,INR,AUDIOARRAY,0.0
B0G53PRM34,FBA79965,1,6355.08,33.9,0.0,2026-09-05T15:24:56+00:00,AMD2,171-2955870-2558728,INR,AUDIOARRAY,6355.08
B0FQJWWDVK,FBA79820,1,380.5,16.1,0.0,2026-09-05T14:50:44+00:00,BOM5,406-2673526-9144320,INR,AUDIOARRAY,380.5
B0GW8VBCBL,FBA79995,2,761.86,0.0,0.0,2026-09-05T14:24:42+00:00,MAA4,407-4173542-8577930,INR,AUDIOARRAY,1523.72
B0FJ8TSQK1,FBA79830,1,2668.64,0.0,0.0,2026-09-05T14:12:46+00:00,AMD2,404-4905480-3500316,INR,AUDIOARRAY,2668.64
B0FQBX8J17,FBA79838,1,1100.85,0.0,0.0,2026-09-05T12:35:48+00:00,DEL5,405-4536653-6583569,INR,AUDIOARRAY,1100.85
B0FQJWWDVK,FBA79820,1,380.5,0.0,0.0,2026-09-05T11:41:49+00:00,HYD3,404-0702215-0976360,INR,AUDIOARRAY,380.5
B0FJS57732,FBA80141,1,2414.4,16.1,0.0,2026-09-05T11:20:48+00:00,BOM7,405-7790076-7694737,INR,AUDIOARRAY,2414.4
B0GY827J9C,FBA80074,1,8473.72,0.0,0.0,2026-09-05T11:07:46+00:00,BLR7,406-9583957-2433961,INR,AUDIOARRAY,8473.72
B0CH4VCD6R,FBA77171,1,465.26,0.0,0.0,2026-09-05T06:53:50+00:00,BLR8,171-6021161-1310727,INR,AUDIOARRAY,465.26
B0GY857139,FBA80076,1,0.0,0.0,0.0,2026-09-05T05:52:43+00:00,AMD2,404-5410749-4861165,INR,AUDIOARRAY,0.0
B0H3LHF2WW,FBA80142,1,2117.8,33.9,0.0,2026-09-05T05:14:45+00:00,BOM5,407-6108461-4397108,INR,AUDIOARRAY,2117.8
B0GXPGBQB1,FBA80075,1,7117.8,0.0,0.0,2026-09-05T05:13:47+00:00,BLR8,403-7714088-3053111,INR,AUDIOARRAY,7117.8
B0B4DPX2J2,FBA75673,1,2287.29,0.0,0.0,2026-09-05T05:10:20+00:00,CCX1,403-2190670-6678755,INR,AUDIOARRAY,2287.29
B0DT6T6N6B,FBA79694,1,507.63,0.0,0.0,2026-09-05T04:52:48+00:00,LKO1,171-4418584-8515565,INR,AUDIOARRAY,507.63
B0CM6WH4ZT,FBA79105,1,1185.59,0.0,0.0,2026-09-05T04:22:45+00:00,DEL4,404-7700454-0930765,INR,AUDIOARRAY,1185.59
B0GY827J9C,FBA80074,1,8473.73,33.9,0.0,2026-09-05T03:10:50+00:00,BLR7,171-3397133-5497906,INR,AUDIOARRAY,8473.73
B0CM9KJZWQ,FBA79106,1,3982.2,33.9,0.0,2026-09-04T22:18:44+00:00,BOM7,405-4951980-5514762,INR,AUDIOARRAY,3982.2
B0GMPGNXX3,FBA79956,1,507.63,0.0,0.0,2026-09-04T22:17:50+00:00,BLR8,406-5112444-5877930,INR,AUDIOARRAY,507.63
B0FJ8TSQK1,FBA79830,1,2668.64,33.9,0.0,2026-09-04T22:05:47+00:00,HYD8,404-3945384-4432358,INR,AUDIOARRAY,2668.64
