SKU,Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,units_ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,ordered_product_sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
FBA79167,WM-GD07-CB,B0CPFS24ML,B0CPFS24ML,"White Mulberry Gaming Desk, Computer Desk with Carbon Fiber Surface, Z Shaped Gaming Table, Computer Table, Workstation, Home Office Desk with Cup Holder and Headphone Holder | (117 * 67 * 71 CM)","11,591",279,39.77%,36.57%,"16,888",418,40.84%,39.62%,99.57%,100.00%,75,3,0.65%,1.08%,"₹ 5,46,507.05","₹ 23,523.05",74,3
FBA76415,WM-LOD-CF,B0BFWD6SNF,B0BFWD6SNF,White Mulberry L-Shape Corner Desk |DIY Assembly| Monitor Raising Shelf | Engineered Wood & Sturdy Steel Leg|Perfect for Office Home Gaming Study Desk Computer Table|L(130+130)*45 * 77cm|Carbon Fibre,"1,692",50,5.81%,6.55%,"2,465",72,5.96%,6.82%,74.63%,100.00%,9,0,0.53%,0.00%,"₹ 75,591.00",₹ 0.00,9,0
FBA76418,WM-LOD-IN,B0BFVNS8HS,B0BFVNS8HS,White Mulberry L-Shape Corner Desk |DIY Assembly| Monitor Raising Shelf | Engineered Wood & Sturdy Steel Leg|Perfect for Office Home Gaming Study Desk Computer Table|L(130+130)*45 * 77cm|Industrial,775,51,2.66%,6.68%,"1,066",64,2.58%,6.07%,47.68%,100.00%,8,0,1.03%,0.00%,"₹ 58,793.00",₹ 0.00,8,0
FBA76416,WM-LOD-BK,B0BFW59TRG,B0BFW59TRG,"White Mulberry L-Shape Corner Desk | Monitor Raising Shelf | Made of P2 Grade Melamine Particle Board & Sturdy Steel Leg | Suitable for Office, Home, Gaming, Streaming | Black |L(130+130)*B45*H77cm",518,15,1.78%,1.97%,675,18,1.63%,1.71%,90.86%,100.00%,6,0,1.16%,0.00%,"₹ 50,394.00",₹ 0.00,6,0
FBA76417,WM-LOD-WH,B0BFVMDJ2K,B0BFVMDJ2K,White Mulberry L-Shape Corner Desk |DIY Assembly| Monitor Raising Shelf | Engineered Wood & Sturdy Steel Leg|Perfect for Office Home Gaming Study Desk Computer Table|L(130+130)*45 * 77cm|White,934,51,3.20%,6.68%,"1,208",69,2.92%,6.54%,46.90%,100.00%,3,0,0.32%,0.00%,"₹ 16,798.00",₹ 0.00,3,0
FBA79658,WM-MDL-WH,B0DQ1PKNSP,B0DQ1PKNSP,White Mulberry |120X60CM Table Top|Manual Sit Stand Desk|Multi-Purpose Manual Height Adjustable Ergonomic Desk - Office Work Study Table|3 Year Warranty| 80 Kg Weight Carrying Capacity - White,268,9,0.92%,1.18%,408,12,0.99%,1.14%,83.53%,100.00%,3,0,1.12%,0.00%,"₹ 45,003.00",₹ 0.00,3,0
FBA79662,WM-MODL-WH,B0DQ4YWSMC,B0DQ4YWSMC,White Mulberry |120X60CM Table Top|Motorized Sit Stand Desk|Multi-Purpose Electric Height Adjustable Ergonomic Desk - Office Work study Table|3 Year Warranty|Digital screen Advance Memory Preset-White,245,8,0.84%,1.05%,314,11,0.76%,1.04%,78.68%,100.00%,3,1,1.22%,12.50%,"₹ 47,997.00","₹ 15,999.00",3,1
FBA79164,WM-USE06-BK,B0CPFN27Z2,B0CPFN27Z2,"White Mulberry Steel Motorized Height Adjustable Desk with USB Charging,Drawer|Spacious Ergonomic Design|Preset Height Controller|Sit Stand Desk for Office,Home Study,Workstation Table|120X60Cm|Black",9,1,0.03%,0.13%,16,1,0.04%,0.09%,53.33%,100.00%,1,0,11.11%,0.00%,"₹ 22,999.00",₹ 0.00,1,0
FBA79178,WM-SE08-WH,B0CPT2NY5M,B0CPT2NY5M,"White Mulberry Wooden Motorized Electronic Height Adjustable | Ergonomic Spacious Design Desk | Motor&Memory Preset Controller|Sit Stand Desk for Office, Home & Study Table| 1200mmx600mm | White",136,5,0.47%,0.66%,171,7,0.41%,0.66%,83.66%,100.00%,1,0,0.74%,0.00%,"₹ 15,799.00",₹ 0.00,1,0
FBA79179,WM-SE08-CF,B0CPT3Q25C,B0CPT3Q25C,White Mulberry Wooden Motorized Electronic Height Adjustable | Ergonomic Spacious Design Desk | Motor&Memory Preset Controller|Sit Stand Desk for Office Home & Study Table| 1200mmx600mm | Carbon Fibre,353,19,1.21%,2.49%,443,22,1.07%,2.09%,87.56%,100.00%,1,0,0.28%,0.00%,"₹ 15,999.00",₹ 0.00,1,0
FBA79661,WM-MODL-BK,B0DQ51R95T,B0DQ51R95T,White Mulberry |120X60CM Table Top|Motorized Sit Stand Desk|Multi-Purpose Electric Height Adjustable Ergonomic Desk - Office Work study Table|3 Year Warranty|Digital screen Advance Memory Preset-Black,75,6,0.26%,0.79%,88,9,0.21%,0.85%,32.50%,100.00%,1,0,1.33%,0.00%,"₹ 15,999.00",₹ 0.00,1,0
FBK76387,WM-MH05P-WH,B0BF4S7V8C,B0BF4S7V8C,"White Mulberry Alloy Steel Manual Height Adjustable Desk | Ergonomic Design | Ecofriendly Desk | Sit Stand Desk for Office, Home & Study Table| 1200Mm X 600Mm | White",89,8,0.31%,1.05%,108,9,0.26%,0.85%,28.57%,100.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA76382,WM-MH05P-BK,B0BF4T7SWK,B0BF4T7SWK,"White Mulberry Alloy Steel Manual Height Adjustable Desk | Ergonomic Design | Ecofriendly Desk | Sit Stand Desk for Office, Home & Study Table| 1200Mm X 600Mm | Black",156,17,0.54%,2.23%,191,20,0.46%,1.90%,34.34%,100.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA76765,WM-SEH04P-CF,B0BMQQQ7YD,B0BMQQQ7YD,"White Mulberry Motorized Height Adjustable Sit-Stand Desk | Electronic Height Adjustable | Motor & Memory Preset Controller | Office, Workstation or Home | Carbon Fibre | 120 * 60*H(75-118) cm",7,1,0.02%,0.13%,11,1,0.03%,0.09%,100.00%,100.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBK76764,WM-MH05P-CF,B0BMV1WPHL,B0BMV1WPHL,"White Mulberry Ergonomic Sit Stand Desk | Standing Desk for Office, Home & Study | Everyday Ergonomic Desk | 1200mm x 600mm | Carbon Fibre",2,0,0.01%,0.00%,3,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA79165,WM-USE06-WH,B0CPFPT6DZ,B0CPFPT6DZ,"White Mulberry Motorized Height Adjustable Desk with USB Charging,Drawer|Spacious Ergonomic Design|Preset Height Controller|Sit Stand Desk for Office,Home Study,Workstation Table|1200X600mm|White",0,0,0.00%,0.00%,0,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA79177,WM-SE08-BK,B0CPT34B2L,B0CPT34B2L,"White Mulberry Wooden Motorized Electronic Height Adjustable | Ergonomic Spacious Design Desk | Motor&Memory Preset Controller|Sit Stand Desk for Office, Home & Study Table| 1200mmx600mm | Black",213,3,0.73%,0.39%,248,3,0.60%,0.28%,32.27%,100.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA79616,HD1ML,B0DP3194QN,B0DP3194QN,White Mulberry |DIY| Heavy-Duty Mechanical Spring Monitor Arm | Desk Mounted Monitor Stand for 17-45 Inch Monitor |16Kg Screen Capacity|VESA 75X75&100X100|Adjustable Desk Mount-(Single Screen),39,0,0.13%,0.00%,52,0,0.13%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA79659,WM-MDL-BK,B0DQ1NV8D2,B0DQ1NV8D2,White Mulberry |120X60CM Table Top|Manual Sit Stand Desk|Multi-Purpose Manual Height Adjustable Ergonomic Desk - Office Work Study Table|3 Year Warranty| 80 Kg Weight Carrying Capacity - Black,258,12,0.89%,1.57%,298,15,0.72%,1.42%,79.23%,100.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA79660,WM-MODL-BBW,B0DQ4ZK2WQ,B0DQ4ZK2WQ,White Mulberry |120X60CM Table Top|Motorized Sit Stand Desk|Multi-Purpose Electric Height Adjustable Ergonomic Desk - Office Work study Table|3 Year Warranty|Digital screen Advance Memory Preset-Brown,28,4,0.10%,0.52%,31,6,0.07%,0.57%,69.23%,100.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA79667,WM-LODN-WH,B0DQPK7MFH,B0DQPK7MFH,White Mulberry L-Shape Corner Desk with Shelf|DIY Assembly| Monitor Raising Shelf |Engineered Wood & Sturdy Steel Leg|Perfect for Computer Table Office Home Gaming Study Desk|L(130+130)*45*77cm|White,149,8,0.51%,1.05%,168,9,0.41%,0.85%,32.69%,100.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA79784,POS2M,B0FN4FHH5Y,B0FN4FHH5Y,"White Mulberry Dual Screen POS Machine Stand for 17""-32"" Monitors(9kg) w/Card Reader, Printer & Barcode Scanner Holders| VESA 75x75/100x100 Compatible| Adjustable Tilt, Swivel & Rotation| Grommet Base",14,2,0.05%,0.26%,25,2,0.06%,0.19%,34.88%,92.31%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA79788,TVCT1ML,B0FN4D3C89,B0FN4D3C89,"White Mulberry Economy Fixed TV Wall Mount Bracket for 13-43 Inches |45kg|LED/LCD/Smart TV's, Universal VESA Compatible 75x75,200x200 mm MAX Slim Wall Mount Stand",821,51,0.43%,1.46%,"1,215",73,0.47%,1.54%,99.82%,100.00%,51,5,6.21%,9.80%,"₹ 29,508.00","₹ 3,103.00",50,4
NA,NA,B0FHVWHQHR,B0FHVWHQHR,"White Mulberry Fixed TV Wall Mount Bracket for 37–86 Inch LED, LCD & Curved TVs | Heavy Duty Steel Frame, 45kg Max Load, VESA 50x50 to 600x400mm Max, Built-in Bubble Level, 1 Year Warranty",206,16,0.11%,0.46%,313,24,0.12%,0.51%,100.00%,100.00%,16,0,7.77%,0.00%,"₹ 12,735.00",₹ 0.00,14,0
FBA79787,TVCF1ML,B0FN4GQ9HT,B0FN4GQ9HT,"White Mulberry Tilt TV Wall Mount Bracket for 13–43 Inch Flat Screen TVs, Low Profile Slim Design, Heavy-Duty Steel, VESA 75x75 to 200x200, Supports up to 99 lbs (45kg), Built-in Bubble Level",421,27,0.22%,0.77%,556,41,0.22%,0.86%,100.00%,100.00%,11,0,2.61%,0.00%,"₹ 9,339.00",₹ 0.00,11,0
FBA79612,WM1ML,B0DP2WC5VW,B0DP2WC5VW,White Mulberry |DIY| Wall Mounted Monitor Stand Mount | Supports 15-32 Inch Screens| 9 Kg Screen Load | VESA 75X75 & 100X100 | Spring Assisted Wall Mounted Monitor Mount | Black - (Single Screen),613,34,0.32%,0.97%,830,45,0.32%,0.95%,97.18%,93.10%,12,0,1.96%,0.00%,"₹ 36,528.00",₹ 0.00,10,0
FBA79615,VLMS1ML,B0DP2Z5DQ9,B0DP2Z5DQ9,"White Mulberry 10-Step Height Adjustable Single Screen Monitor Stand for 17-32 Inch Monitor, 8 kg Load, VESA 75x75/100x100, DIY Installation (Black)",480,30,0.25%,0.86%,612,42,0.24%,0.88%,100.00%,100.00%,10,1,2.08%,3.33%,"₹ 29,670.00","₹ 2,967.00",10,1
FBA79478,WM-HA1M-BK,B0DB5W4TCP,B0DB5W4TCP,White Mulberry |DIY| Height Adjustable Monitor Arm | Desk Mounted Stand for 15-32 Inch Monitor | 10Kg Screen Load | VESA 75X75 & 100X100 | Adjustable Metal Desk Monitor Mount - (Single Screen),447,25,0.23%,0.71%,608,37,0.24%,0.78%,86.98%,61.90%,9,0,2.01%,0.00%,"₹ 15,732.00",₹ 0.00,9,0
FBA79789,TVMF1ML,B0FN4DSQ6P,B0FN4DSQ6P,"White Mulberry Premium Economy Fixed TV Wall Mount Bracket for 32-65 Inches |45kg| LED/LCD/OLED/Smart & Curved TV's, VESA 50x50, 400x400 MAX, Slim Wall Stand",190,17,0.10%,0.49%,292,23,0.11%,0.48%,100.00%,100.00%,9,0,4.74%,0.00%,"₹ 6,741.00",₹ 0.00,9,0
FBA79617,HDWF1ML,B0DP32F346,B0DP32F346,White Mulberry |DIY| Woodcraft - Premium Wooden Arm | Desk Mounted Monitor arm 15-32 Inch Monitor|9Kg Screen Capacity|Spring Assisted Premium Wooden Metal Desk Mount-(Single Screen),604,43,0.32%,1.23%,805,56,0.31%,1.18%,32.72%,18.60%,7,4,1.16%,9.30%,"₹ 22,715.00","₹ 12,980.00",4,1
FBA79791,TVFM1ML,B0FN4HDM6Z,B0FN4HDM6Z,"White Mulberry Premium Full Motion TV Wall Mount Bracket for 23-65Inch |35kg| LED/LCD/OLED/Smart & Curved TV’s, Universal Heavy Duty Wall Mount Stand with Swivel, Tilt",578,48,0.30%,1.37%,804,68,0.31%,1.43%,100.00%,100.00%,5,3,0.87%,6.25%,"₹ 11,495.00","₹ 6,897.00",3,1
FBA79786,POSS-01,B0FN4FPJ83,B0FN4FPJ83,"White Mulberry POS Machine Stand Universal Credit Card Machine Stand – 360° Swivel & +45°/-45° Tilt |Fits 2.8""-4.3"" Devices, 6.5"" Panel Size| Heavy-Duty Steel & Bolt-Down Mount with Cable Management",48,4,0.03%,0.11%,64,10,0.02%,0.21%,100.00%,100.00%,2,0,4.17%,0.00%,"₹ 4,118.00",₹ 0.00,2,0
FBA79792,HDMSP1ML,B0FN4JG97R,B0FN4JG97R,"White Mulberry Single Screen Pole Mounted Heavy-Duty Mechanical Spring Monitor Arm for 17-40 Inch |2-22kgs| Flat & Curved Screens, Universal Desk Mount with Swivel, Tilt, Rotation",162,14,0.09%,0.40%,240,24,0.09%,0.51%,100.00%,100.00%,2,0,1.23%,0.00%,"₹ 5,499.00",₹ 0.00,2,0
FBA79613,MS1ML,B0DP2VVRND,B0DP2VVRND,White Mulberry |DIY| Height Adjustable Monitor Stand Mount | Supports 17-32 Inch Screens| 10 Kg Screen Load | VESA 75X75 & 100X100 | Freestanding Monitor Mount | Black - (Single Screen),"1,313",91,0.69%,2.60%,"1,969",115,0.77%,2.42%,3.65%,1.35%,1,0,0.08%,0.00%,"₹ 2,089.00",₹ 0.00,1,0
