(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B00EVZ83J0,B00EVZ83J0,"Fossil Decker Brown Watch Ch2885 - Chronograph, Men, Leather","10,745",237,3.93%,5.34%,"15,736",335,4.48%,5.52%,99.77%,100.00%,91,2,0.85%,0.84%,"₹6,65,577.00","₹16,094.00",89,1
B0846PJPW9,B0846PJPW9,Armani Exchange Black Dial Analog Men's Watch,"4,699",96,1.72%,2.16%,"6,633",138,1.89%,2.28%,99.73%,100.00%,36,0,0.77%,0.00%,"₹2,63,242.00",₹0.00,36,0
B0CYSLCRQS,B0CYSLCRQS,"nexlev Mattress, Sofa & Carpet Vacuum Cleaner | for Dust Mites, Allergens & Pet Hair | 4 Step Cleansing with Double Beat, UV Light, Dehumidification & Vacuum | HEPA captures 99.99% Dust|MR-01","52,737",544,19.30%,12.26%,"60,391",647,17.19%,10.67%,55.35%,57.73%,31,1,0.06%,0.18%,"₹91,269.00","₹2,949.00",31,1
B004D4S7AY,B004D4S7AY,Fossil Riley Analog Rose Gold Dial Women's Watch - ES2811,"7,610",92,2.78%,2.07%,"10,053",125,2.86%,2.06%,98.06%,100.00%,27,0,0.35%,0.00%,"₹3,64,311.00",₹0.00,27,0
B008AXYWHQ,B008AXYWHQ,Fossil Nate Chronograph Analog Black Dial Grey Band Men's Stainless Steel Watch - JR1401,"7,392",123,2.70%,2.77%,"9,803",161,2.79%,2.66%,99.86%,100.00%,15,0,0.20%,0.00%,"₹2,39,925.00",₹0.00,15,0
B0DJ2XHK2N,B0DJ2XHK2N,Fossil Women's Scarlette Multicolor Analog Quartz Stainless Steel Watch ES5388,"3,441",40,1.26%,0.90%,"4,686",48,1.33%,0.79%,97.99%,100.00%,16,1,0.46%,2.50%,"₹1,79,925.00","₹11,995.00",15,1
B00DUCIK7U,B00DUCIK7U,Fossil Decker Brown Watch CH2882,"3,739",100,1.37%,2.25%,"4,796",129,1.37%,2.13%,72.05%,71.15%,11,0,0.29%,0.00%,"₹84,095.00",₹0.00,11,0
B07CSNG8XL,B07CSNG8XL,Fossil Carlie Analog White Dial Women's Watch - ES4433,"2,517",26,0.92%,0.59%,"3,273",40,0.93%,0.66%,96.83%,100.00%,11,0,0.44%,0.00%,"₹1,04,445.00",₹0.00,11,0
B0DKJG6R31,B0DKJG6R31,Armani Exchange Analog Black Dial Men's Stainless Steel Watch-AX2459,"1,159",14,0.42%,0.32%,"1,700",23,0.48%,0.38%,73.93%,100.00%,10,0,0.86%,0.00%,"₹82,480.00",₹0.00,10,0
B0DKJHSD8R,B0DKJHSD8R,Armani Exchange Analog Gray Dial Men's Stainless Steel Watch-AX4184,"2,435",72,0.89%,1.62%,"3,275",107,0.93%,1.76%,98.42%,100.00%,10,0,0.41%,0.00%,"₹1,59,950.00",₹0.00,10,0
